Brand,Supplier Code,Manufacturer Code,Item description,Unit,Quantity,Selling Price/Unit (Ft)
Würth,ORB-0001,WLF-1001,Graduated mixing cup,PC,214,12911.38
Würth,ORB-0002,WLF-1001,Graduated mixing cup,PC,48,12911.38
Würth,ORB-0003,WLF-1001,Graduated mixing cup,PC,244,12911.38
Würth,ORB-0004,WLF-1001,Graduated mixing cup,PC,209,12911.38
Würth,ORB-0005,WLF-1001,Graduated mixing cup,PC,222,12911.38
Würth,ORB-0006,WLF-1001,Graduated mixing cup,PC,310,12911.38
Würth,ORB-0007,WLF-1001,Graduated mixing cup,PC,152,12911.38
Würth,ORB-0008,WLF-1001,Graduated mixing cup,PC,69,12911.38
Würth,ORB-0009,WLF-1002,"Sanding discs 150 mm, coarse",PC,239,28852.62
Würth,ORB-0010,WLF-1002,"Sanding discs 150 mm, coarse",PC,150,28852.62
Würth,ORB-0011,WLF-1002,"Sanding discs 150 mm, coarse",PC,162,28852.62
Würth,ORB-0012,WLF-1002,"Sanding discs 150 mm, coarse",PC,242,28852.62
Würth,ORB-0013,WLF-1002,"Sanding discs 150 mm, coarse",PC,257,28852.62
Würth,ORB-0014,WLF-1002,"Sanding discs 150 mm, coarse",PC,299,28852.62
Würth,ORB-0015,WLF-1002,"Sanding discs 150 mm, coarse",PC,169,28852.62
Würth,ORB-0016,WLF-1002,"Sanding discs 150 mm, coarse",PC,183,28852.62
Würth,ORB-0017,WLF-1003,Standard masking tape,PC,314,5681.48
Würth,ORB-0018,WLF-1003,Standard masking tape,PC,79,5681.48
Würth,ORB-0019,WLF-1003,Standard masking tape,PC,280,5681.48
Würth,ORB-0020,WLF-1003,Standard masking tape,PC,44,5681.48
Würth,ORB-0021,WLF-1003,Standard masking tape,PC,77,5681.48
Würth,ORB-0022,WLF-1003,Standard masking tape,PC,177,5681.48
Würth,ORB-0023,WLF-1003,Standard masking tape,PC,140,5681.48
Würth,ORB-0024,WLF-1003,Standard masking tape,PC,245,5681.48
