id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-003025,AL,2026-01,2026-01-28,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,108,piece,17.6,1900.8,EUR,1900.8,synthetic-spend-AL.csv,True,indirect
TXN-003026,AL,2026-02,2026-02-20,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,115,piece,17.6,2024.0,EUR,2024.0,synthetic-spend-AL.csv,True,indirect
TXN-003027,AL,2026-03,2026-03-12,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,328,piece,17.6,5772.8,EUR,5772.8,synthetic-spend-AL.csv,True,indirect
TXN-003028,AL,2026-04,2026-04-25,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,214,piece,17.6,3766.4,EUR,3766.4,synthetic-spend-AL.csv,True,indirect
TXN-003029,AL,2026-05,2026-05-14,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,123,piece,17.6,2164.8,EUR,2164.8,synthetic-spend-AL.csv,True,indirect
TXN-003030,AL,2026-06,2026-06-13,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,32,piece,17.6,563.2,EUR,563.2,synthetic-spend-AL.csv,True,indirect
TXN-003031,AL,2026-07,2026-07-02,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,275,piece,17.6,4840.0,EUR,4840.0,synthetic-spend-AL.csv,True,indirect
TXN-003032,AL,2026-08,2026-08-01,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,161,piece,17.6,2833.6,EUR,2833.6,synthetic-spend-AL.csv,True,indirect
TXN-003033,AL,2026-01,2026-01-28,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,165,piece,46.45,7664.25,EUR,7664.25,synthetic-spend-AL.csv,True,direct
TXN-003034,AL,2026-02,2026-02-26,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,29,piece,46.45,1347.05,EUR,1347.05,synthetic-spend-AL.csv,True,direct
TXN-003035,AL,2026-03,2026-03-05,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,296,piece,46.45,13749.2,EUR,13749.2,synthetic-spend-AL.csv,True,direct
TXN-003036,AL,2026-04,2026-04-27,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,64,piece,46.45,2972.8,EUR,2972.8,synthetic-spend-AL.csv,True,direct
TXN-003037,AL,2026-05,2026-05-17,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,191,piece,46.45,8871.95,EUR,8871.95,synthetic-spend-AL.csv,True,direct
TXN-003038,AL,2026-06,2026-06-12,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,139,piece,46.45,6456.55,EUR,6456.55,synthetic-spend-AL.csv,True,direct
TXN-003039,AL,2026-07,2026-07-26,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,213,piece,46.45,9893.85,EUR,9893.85,synthetic-spend-AL.csv,True,direct
TXN-003040,AL,2026-08,2026-08-27,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,126,piece,46.45,5852.7,EUR,5852.7,synthetic-spend-AL.csv,True,direct
TXN-003041,AL,2026-01,2026-01-13,WLF-1003,sup-aster,3M,Standard masking tape,kleb,136,piece,19.51,2653.36,EUR,2653.36,synthetic-spend-AL.csv,True,direct
TXN-003042,AL,2026-02,2026-02-21,WLF-1003,sup-aster,3M,Standard masking tape,kleb,282,piece,19.51,5501.82,EUR,5501.82,synthetic-spend-AL.csv,True,direct
TXN-003043,AL,2026-03,2026-03-21,WLF-1003,sup-aster,3M,Standard masking tape,kleb,252,piece,19.51,4916.52,EUR,4916.52,synthetic-spend-AL.csv,True,direct
TXN-003044,AL,2026-04,2026-04-22,WLF-1003,sup-aster,3M,Standard masking tape,kleb,301,piece,19.51,5872.51,EUR,5872.51,synthetic-spend-AL.csv,True,direct
TXN-003045,AL,2026-05,2026-05-18,WLF-1003,sup-aster,3M,Standard masking tape,kleb,39,piece,19.51,760.89,EUR,760.89,synthetic-spend-AL.csv,True,direct
TXN-003046,AL,2026-06,2026-06-03,WLF-1003,sup-aster,3M,Standard masking tape,kleb,89,piece,19.51,1736.39,EUR,1736.39,synthetic-spend-AL.csv,True,direct
TXN-003047,AL,2026-07,2026-07-22,WLF-1003,sup-aster,3M,Standard masking tape,kleb,296,piece,19.51,5774.96,EUR,5774.96,synthetic-spend-AL.csv,True,direct
TXN-003048,AL,2026-08,2026-08-20,WLF-1003,sup-aster,3M,Standard masking tape,kleb,36,piece,19.51,702.36,EUR,702.36,synthetic-spend-AL.csv,True,direct
TXN-003049,AL,2026-01,2026-01-19,WLF-1004,sup-velora,Glasurit (BASF),Cutting compound (coarse/medium),polier,38,piece,18.88,717.44,EUR,717.44,synthetic-spend-AL.csv,True,indirect
TXN-003050,AL,2026-02,2026-02-24,WLF-1004,sup-velora,Glasurit (BASF),Cutting compound (coarse/medium),polier,196,piece,18.88,3700.48,EUR,3700.48,synthetic-spend-AL.csv,True,indirect
TXN-003051,AL,2026-03,2026-03-22,WLF-1004,sup-velora,Glasurit (BASF),Cutting compound (coarse/medium),polier,221,piece,18.88,4172.48,EUR,4172.48,synthetic-spend-AL.csv,True,indirect
TXN-003052,AL,2026-04,2026-04-19,WLF-1004,sup-velora,Glasurit (BASF),Cutting compound (coarse/medium),polier,138,piece,18.88,2605.44,EUR,2605.44,synthetic-spend-AL.csv,True,indirect
TXN-003053,AL,2026-05,2026-05-11,WLF-1004,sup-velora,Glasurit (BASF),Cutting compound (coarse/medium),polier,52,piece,18.88,981.76,EUR,981.76,synthetic-spend-AL.csv,True,indirect
TXN-003054,AL,2026-06,2026-06-20,WLF-1004,sup-velora,Glasurit (BASF),Cutting compound (coarse/medium),polier,45,piece,18.88,849.6,EUR,849.6,synthetic-spend-AL.csv,True,indirect
TXN-003055,AL,2026-07,2026-07-10,WLF-1004,sup-velora,Glasurit (BASF),Cutting compound (coarse/medium),polier,276,piece,18.88,5210.88,EUR,5210.88,synthetic-spend-AL.csv,True,indirect
TXN-003056,AL,2026-08,2026-08-19,WLF-1004,sup-velora,Glasurit (BASF),Cutting compound (coarse/medium),polier,312,piece,18.88,5890.56,EUR,5890.56,synthetic-spend-AL.csv,True,indirect
TXN-003057,AL,2026-01,2026-01-10,WLF-1005,sup-lumen,Finixa,Solvent-based silicone remover,kabine,205,piece,55.3,11336.5,EUR,11336.5,synthetic-spend-AL.csv,True,direct
TXN-003058,AL,2026-02,2026-02-11,WLF-1005,sup-lumen,Finixa,Solvent-based silicone remover,kabine,330,piece,55.3,18249.0,EUR,18249.0,synthetic-spend-AL.csv,True,direct
TXN-003059,AL,2026-03,2026-03-05,WLF-1005,sup-lumen,Finixa,Solvent-based silicone remover,kabine,190,piece,55.3,10507.0,EUR,10507.0,synthetic-spend-AL.csv,True,direct
TXN-003060,AL,2026-04,2026-04-21,WLF-1005,sup-lumen,Finixa,Solvent-based silicone remover,kabine,166,piece,55.3,9179.8,EUR,9179.8,synthetic-spend-AL.csv,True,direct
TXN-003061,AL,2026-05,2026-05-06,WLF-1005,sup-lumen,Finixa,Solvent-based silicone remover,kabine,314,piece,55.3,17364.2,EUR,17364.2,synthetic-spend-AL.csv,True,direct
TXN-003062,AL,2026-06,2026-06-19,WLF-1005,sup-lumen,Finixa,Solvent-based silicone remover,kabine,47,piece,55.3,2599.1,EUR,2599.1,synthetic-spend-AL.csv,True,direct
TXN-003063,AL,2026-07,2026-07-23,WLF-1005,sup-lumen,Finixa,Solvent-based silicone remover,kabine,163,piece,55.3,9013.9,EUR,9013.9,synthetic-spend-AL.csv,True,direct
TXN-003064,AL,2026-08,2026-08-19,WLF-1005,sup-lumen,Finixa,Solvent-based silicone remover,kabine,276,piece,55.3,15262.8,EUR,15262.8,synthetic-spend-AL.csv,True,direct
TXN-003065,AL,2026-01,2026-01-10,WLF-1006,sup-novex,Mirka,Half mask / spray-painting respirator,psa,307,piece,32.54,9989.78,EUR,9989.78,synthetic-spend-AL.csv,True,direct
TXN-003066,AL,2026-02,2026-02-24,WLF-1006,sup-novex,Mirka,Half mask / spray-painting respirator,psa,153,piece,32.54,4978.62,EUR,4978.62,synthetic-spend-AL.csv,True,direct
TXN-003067,AL,2026-03,2026-03-09,WLF-1006,sup-novex,Mirka,Half mask / spray-painting respirator,psa,224,piece,32.54,7288.96,EUR,7288.96,synthetic-spend-AL.csv,True,direct
TXN-003068,AL,2026-04,2026-04-23,WLF-1006,sup-novex,Mirka,Half mask / spray-painting respirator,psa,63,piece,32.54,2050.02,EUR,2050.02,synthetic-spend-AL.csv,True,direct
TXN-003069,AL,2026-05,2026-05-07,WLF-1006,sup-novex,Mirka,Half mask / spray-painting respirator,psa,221,piece,32.54,7191.34,EUR,7191.34,synthetic-spend-AL.csv,True,direct
TXN-003070,AL,2026-06,2026-06-24,WLF-1006,sup-novex,Mirka,Half mask / spray-painting respirator,psa,37,piece,32.54,1203.98,EUR,1203.98,synthetic-spend-AL.csv,True,direct
TXN-003071,AL,2026-07,2026-07-22,WLF-1006,sup-novex,Mirka,Half mask / spray-painting respirator,psa,123,piece,32.54,4002.42,EUR,4002.42,synthetic-spend-AL.csv,True,direct
TXN-003072,AL,2026-08,2026-08-20,WLF-1006,sup-novex,Mirka,Half mask / spray-painting respirator,psa,64,piece,32.54,2082.56,EUR,2082.56,synthetic-spend-AL.csv,True,direct
