id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-002857,BA,2026-01,2026-01-25,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,50,piece,15.88,794.0,EUR,794.0,synthetic-spend-BA.csv,True,direct
TXN-002858,BA,2026-02,2026-02-02,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,94,piece,15.88,1492.72,EUR,1492.72,synthetic-spend-BA.csv,True,direct
TXN-002859,BA,2026-03,2026-03-26,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,318,piece,15.88,5049.84,EUR,5049.84,synthetic-spend-BA.csv,True,direct
TXN-002860,BA,2026-04,2026-04-24,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,36,piece,15.88,571.68,EUR,571.68,synthetic-spend-BA.csv,True,direct
TXN-002861,BA,2026-05,2026-05-18,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,105,piece,15.88,1667.4,EUR,1667.4,synthetic-spend-BA.csv,True,direct
TXN-002862,BA,2026-06,2026-06-25,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,130,piece,15.88,2064.4,EUR,2064.4,synthetic-spend-BA.csv,True,direct
TXN-002863,BA,2026-07,2026-07-20,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,204,piece,15.88,3239.52,EUR,3239.52,synthetic-spend-BA.csv,True,direct
TXN-002864,BA,2026-08,2026-08-23,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,315,piece,15.88,5002.2,EUR,5002.2,synthetic-spend-BA.csv,True,direct
TXN-002865,BA,2026-01,2026-01-03,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,204,piece,68.07,13886.28,EUR,13886.28,synthetic-spend-BA.csv,True,indirect
TXN-002866,BA,2026-02,2026-02-01,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,188,piece,68.07,12797.16,EUR,12797.16,synthetic-spend-BA.csv,True,indirect
TXN-002867,BA,2026-03,2026-03-09,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,256,piece,68.07,17425.92,EUR,17425.92,synthetic-spend-BA.csv,True,indirect
TXN-002868,BA,2026-04,2026-04-05,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,189,piece,68.07,12865.23,EUR,12865.23,synthetic-spend-BA.csv,True,indirect
TXN-002869,BA,2026-05,2026-05-12,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,84,piece,68.07,5717.88,EUR,5717.88,synthetic-spend-BA.csv,True,indirect
TXN-002870,BA,2026-06,2026-06-16,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,314,piece,68.07,21373.98,EUR,21373.98,synthetic-spend-BA.csv,True,indirect
TXN-002871,BA,2026-07,2026-07-04,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,294,piece,68.07,20012.58,EUR,20012.58,synthetic-spend-BA.csv,True,indirect
TXN-002872,BA,2026-08,2026-08-13,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,68,piece,68.07,4628.76,EUR,4628.76,synthetic-spend-BA.csv,True,indirect
TXN-002873,BA,2026-01,2026-01-09,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,328,piece,26.46,8678.88,EUR,8678.88,synthetic-spend-BA.csv,True,direct
TXN-002874,BA,2026-02,2026-02-26,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,275,piece,26.46,7276.5,EUR,7276.5,synthetic-spend-BA.csv,True,direct
TXN-002875,BA,2026-03,2026-03-03,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,214,piece,26.46,5662.44,EUR,5662.44,synthetic-spend-BA.csv,True,direct
TXN-002876,BA,2026-04,2026-04-28,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,246,piece,26.46,6509.16,EUR,6509.16,synthetic-spend-BA.csv,True,direct
TXN-002877,BA,2026-05,2026-05-23,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,115,piece,26.46,3042.9,EUR,3042.9,synthetic-spend-BA.csv,True,direct
TXN-002878,BA,2026-06,2026-06-21,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,309,piece,26.46,8176.14,EUR,8176.14,synthetic-spend-BA.csv,True,direct
TXN-002879,BA,2026-07,2026-07-03,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,217,piece,26.46,5741.82,EUR,5741.82,synthetic-spend-BA.csv,True,direct
TXN-002880,BA,2026-08,2026-08-07,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,132,piece,26.46,3492.72,EUR,3492.72,synthetic-spend-BA.csv,True,direct
TXN-002881,BA,2026-01,2026-01-20,WLF-1004,sup-aster,3M,Cutting compound (coarse/medium),polier,29,piece,18.43,534.47,EUR,534.47,synthetic-spend-BA.csv,True,direct
TXN-002882,BA,2026-02,2026-02-25,WLF-1004,sup-aster,3M,Cutting compound (coarse/medium),polier,216,piece,18.43,3980.88,EUR,3980.88,synthetic-spend-BA.csv,True,direct
TXN-002883,BA,2026-03,2026-03-28,WLF-1004,sup-aster,3M,Cutting compound (coarse/medium),polier,186,piece,18.43,3427.98,EUR,3427.98,synthetic-spend-BA.csv,True,direct
TXN-002884,BA,2026-04,2026-04-20,WLF-1004,sup-aster,3M,Cutting compound (coarse/medium),polier,273,piece,18.43,5031.39,EUR,5031.39,synthetic-spend-BA.csv,True,direct
TXN-002885,BA,2026-05,2026-05-12,WLF-1004,sup-aster,3M,Cutting compound (coarse/medium),polier,72,piece,18.43,1326.96,EUR,1326.96,synthetic-spend-BA.csv,True,direct
TXN-002886,BA,2026-06,2026-06-26,WLF-1004,sup-aster,3M,Cutting compound (coarse/medium),polier,216,piece,18.43,3980.88,EUR,3980.88,synthetic-spend-BA.csv,True,direct
TXN-002887,BA,2026-07,2026-07-07,WLF-1004,sup-aster,3M,Cutting compound (coarse/medium),polier,249,piece,18.43,4589.07,EUR,4589.07,synthetic-spend-BA.csv,True,direct
TXN-002888,BA,2026-08,2026-08-09,WLF-1004,sup-aster,3M,Cutting compound (coarse/medium),polier,57,piece,18.43,1050.51,EUR,1050.51,synthetic-spend-BA.csv,True,direct
TXN-002889,BA,2026-01,2026-01-28,WLF-1005,sup-velora,Glasurit (BASF),Solvent-based silicone remover,kabine,29,piece,52.86,1532.94,EUR,1532.94,synthetic-spend-BA.csv,True,indirect
TXN-002890,BA,2026-02,2026-02-16,WLF-1005,sup-velora,Glasurit (BASF),Solvent-based silicone remover,kabine,250,piece,52.86,13215.0,EUR,13215.0,synthetic-spend-BA.csv,True,indirect
TXN-002891,BA,2026-03,2026-03-20,WLF-1005,sup-velora,Glasurit (BASF),Solvent-based silicone remover,kabine,210,piece,52.86,11100.6,EUR,11100.6,synthetic-spend-BA.csv,True,indirect
TXN-002892,BA,2026-04,2026-04-25,WLF-1005,sup-velora,Glasurit (BASF),Solvent-based silicone remover,kabine,228,piece,52.86,12052.08,EUR,12052.08,synthetic-spend-BA.csv,True,indirect
TXN-002893,BA,2026-05,2026-05-18,WLF-1005,sup-velora,Glasurit (BASF),Solvent-based silicone remover,kabine,74,piece,52.86,3911.64,EUR,3911.64,synthetic-spend-BA.csv,True,indirect
TXN-002894,BA,2026-06,2026-06-13,WLF-1005,sup-velora,Glasurit (BASF),Solvent-based silicone remover,kabine,113,piece,52.86,5973.18,EUR,5973.18,synthetic-spend-BA.csv,True,indirect
TXN-002895,BA,2026-07,2026-07-22,WLF-1005,sup-velora,Glasurit (BASF),Solvent-based silicone remover,kabine,318,piece,52.86,16809.48,EUR,16809.48,synthetic-spend-BA.csv,True,indirect
TXN-002896,BA,2026-08,2026-08-28,WLF-1005,sup-velora,Glasurit (BASF),Solvent-based silicone remover,kabine,140,piece,52.86,7400.4,EUR,7400.4,synthetic-spend-BA.csv,True,indirect
TXN-002897,BA,2026-01,2026-01-12,WLF-1006,sup-lumen,Finixa,Half mask / spray-painting respirator,psa,27,piece,24.01,648.27,EUR,648.27,synthetic-spend-BA.csv,True,direct
TXN-002898,BA,2026-02,2026-02-08,WLF-1006,sup-lumen,Finixa,Half mask / spray-painting respirator,psa,290,piece,24.01,6962.9,EUR,6962.9,synthetic-spend-BA.csv,True,direct
TXN-002899,BA,2026-03,2026-03-08,WLF-1006,sup-lumen,Finixa,Half mask / spray-painting respirator,psa,270,piece,24.01,6482.7,EUR,6482.7,synthetic-spend-BA.csv,True,direct
TXN-002900,BA,2026-04,2026-04-27,WLF-1006,sup-lumen,Finixa,Half mask / spray-painting respirator,psa,177,piece,24.01,4249.77,EUR,4249.77,synthetic-spend-BA.csv,True,direct
TXN-002901,BA,2026-05,2026-05-17,WLF-1006,sup-lumen,Finixa,Half mask / spray-painting respirator,psa,276,piece,24.01,6626.76,EUR,6626.76,synthetic-spend-BA.csv,True,direct
TXN-002902,BA,2026-06,2026-06-15,WLF-1006,sup-lumen,Finixa,Half mask / spray-painting respirator,psa,276,piece,24.01,6626.76,EUR,6626.76,synthetic-spend-BA.csv,True,direct
TXN-002903,BA,2026-07,2026-07-25,WLF-1006,sup-lumen,Finixa,Half mask / spray-painting respirator,psa,302,piece,24.01,7251.02,EUR,7251.02,synthetic-spend-BA.csv,True,direct
TXN-002904,BA,2026-08,2026-08-11,WLF-1006,sup-lumen,Finixa,Half mask / spray-painting respirator,psa,65,piece,24.01,1560.65,EUR,1560.65,synthetic-spend-BA.csv,True,direct
TXN-002905,BA,2026-01,2026-01-16,WLF-1007,sup-novex,Mirka,"Random orbital sander 150 mm, 5 mm orbit",werkstatt,329,piece,47.13,15505.77,EUR,15505.77,synthetic-spend-BA.csv,True,direct
TXN-002906,BA,2026-02,2026-02-26,WLF-1007,sup-novex,Mirka,"Random orbital sander 150 mm, 5 mm orbit",werkstatt,145,piece,47.13,6833.85,EUR,6833.85,synthetic-spend-BA.csv,True,direct
TXN-002907,BA,2026-03,2026-03-08,WLF-1007,sup-novex,Mirka,"Random orbital sander 150 mm, 5 mm orbit",werkstatt,159,piece,47.13,7493.67,EUR,7493.67,synthetic-spend-BA.csv,True,direct
TXN-002908,BA,2026-04,2026-04-23,WLF-1007,sup-novex,Mirka,"Random orbital sander 150 mm, 5 mm orbit",werkstatt,168,piece,47.13,7917.84,EUR,7917.84,synthetic-spend-BA.csv,True,direct
TXN-002909,BA,2026-05,2026-05-26,WLF-1007,sup-novex,Mirka,"Random orbital sander 150 mm, 5 mm orbit",werkstatt,159,piece,47.13,7493.67,EUR,7493.67,synthetic-spend-BA.csv,True,direct
TXN-002910,BA,2026-06,2026-06-19,WLF-1007,sup-novex,Mirka,"Random orbital sander 150 mm, 5 mm orbit",werkstatt,126,piece,47.13,5938.38,EUR,5938.38,synthetic-spend-BA.csv,True,direct
TXN-002911,BA,2026-07,2026-07-18,WLF-1007,sup-novex,Mirka,"Random orbital sander 150 mm, 5 mm orbit",werkstatt,329,piece,47.13,15505.77,EUR,15505.77,synthetic-spend-BA.csv,True,direct
TXN-002912,BA,2026-08,2026-08-03,WLF-1007,sup-novex,Mirka,"Random orbital sander 150 mm, 5 mm orbit",werkstatt,274,piece,47.13,12913.62,EUR,12913.62,synthetic-spend-BA.csv,True,direct
TXN-002913,BA,2026-01,2026-01-22,WLF-1008,sup-arcus,SATA,Paint cup for compressed-air spray gun,lack,311,piece,95.55,29716.05,EUR,29716.05,synthetic-spend-BA.csv,True,indirect
TXN-002914,BA,2026-02,2026-02-17,WLF-1008,sup-arcus,SATA,Paint cup for compressed-air spray gun,lack,119,piece,95.55,11370.45,EUR,11370.45,synthetic-spend-BA.csv,True,indirect
TXN-002915,BA,2026-03,2026-03-13,WLF-1008,sup-arcus,SATA,Paint cup for compressed-air spray gun,lack,52,piece,95.55,4968.6,EUR,4968.6,synthetic-spend-BA.csv,True,indirect
TXN-002916,BA,2026-04,2026-04-15,WLF-1008,sup-arcus,SATA,Paint cup for compressed-air spray gun,lack,204,piece,95.55,19492.2,EUR,19492.2,synthetic-spend-BA.csv,True,indirect
TXN-002917,BA,2026-05,2026-05-21,WLF-1008,sup-arcus,SATA,Paint cup for compressed-air spray gun,lack,330,piece,95.55,31531.5,EUR,31531.5,synthetic-spend-BA.csv,True,indirect
TXN-002918,BA,2026-06,2026-06-17,WLF-1008,sup-arcus,SATA,Paint cup for compressed-air spray gun,lack,66,piece,95.55,6306.3,EUR,6306.3,synthetic-spend-BA.csv,True,indirect
TXN-002919,BA,2026-07,2026-07-06,WLF-1008,sup-arcus,SATA,Paint cup for compressed-air spray gun,lack,81,piece,95.55,7739.55,EUR,7739.55,synthetic-spend-BA.csv,True,indirect
TXN-002920,BA,2026-08,2026-08-04,WLF-1008,sup-arcus,SATA,Paint cup for compressed-air spray gun,lack,312,piece,95.55,29811.6,EUR,29811.6,synthetic-spend-BA.csv,True,indirect
TXN-002921,BA,2026-01,2026-01-26,WLF-1009,sup-cobalt,tesa,"Sanding discs 150 mm, intermediate",schleif,304,piece,37.08,11272.32,EUR,11272.32,synthetic-spend-BA.csv,True,direct
TXN-002922,BA,2026-02,2026-02-20,WLF-1009,sup-cobalt,tesa,"Sanding discs 150 mm, intermediate",schleif,187,piece,37.08,6933.96,EUR,6933.96,synthetic-spend-BA.csv,True,direct
TXN-002923,BA,2026-03,2026-03-27,WLF-1009,sup-cobalt,tesa,"Sanding discs 150 mm, intermediate",schleif,131,piece,37.08,4857.48,EUR,4857.48,synthetic-spend-BA.csv,True,direct
TXN-002924,BA,2026-04,2026-04-25,WLF-1009,sup-cobalt,tesa,"Sanding discs 150 mm, intermediate",schleif,291,piece,37.08,10790.28,EUR,10790.28,synthetic-spend-BA.csv,True,direct
TXN-002925,BA,2026-05,2026-05-07,WLF-1009,sup-cobalt,tesa,"Sanding discs 150 mm, intermediate",schleif,212,piece,37.08,7860.96,EUR,7860.96,synthetic-spend-BA.csv,True,direct
TXN-002926,BA,2026-06,2026-06-08,WLF-1009,sup-cobalt,tesa,"Sanding discs 150 mm, intermediate",schleif,284,piece,37.08,10530.72,EUR,10530.72,synthetic-spend-BA.csv,True,direct
TXN-002927,BA,2026-07,2026-07-08,WLF-1009,sup-cobalt,tesa,"Sanding discs 150 mm, intermediate",schleif,252,piece,37.08,9344.16,EUR,9344.16,synthetic-spend-BA.csv,True,direct
TXN-002928,BA,2026-08,2026-08-09,WLF-1009,sup-cobalt,tesa,"Sanding discs 150 mm, intermediate",schleif,104,piece,37.08,3856.32,EUR,3856.32,synthetic-spend-BA.csv,True,direct
TXN-002929,BA,2026-01,2026-01-03,WLF-1010,sup-solis,PPG / Nexa,Fine-line tape,kleb,326,piece,17.01,5545.26,EUR,5545.26,synthetic-spend-BA.csv,True,direct
TXN-002930,BA,2026-02,2026-02-15,WLF-1010,sup-solis,PPG / Nexa,Fine-line tape,kleb,208,piece,17.01,3538.08,EUR,3538.08,synthetic-spend-BA.csv,True,direct
TXN-002931,BA,2026-03,2026-03-12,WLF-1010,sup-solis,PPG / Nexa,Fine-line tape,kleb,155,piece,17.01,2636.55,EUR,2636.55,synthetic-spend-BA.csv,True,direct
TXN-002932,BA,2026-04,2026-04-15,WLF-1010,sup-solis,PPG / Nexa,Fine-line tape,kleb,106,piece,17.01,1803.06,EUR,1803.06,synthetic-spend-BA.csv,True,direct
TXN-002933,BA,2026-05,2026-05-28,WLF-1010,sup-solis,PPG / Nexa,Fine-line tape,kleb,191,piece,17.01,3248.91,EUR,3248.91,synthetic-spend-BA.csv,True,direct
