id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-001177,CH,2026-01,2026-01-10,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,175,piece,22.79,3988.25,EUR,3988.25,synthetic-spend-CH.csv,True,direct
TXN-001178,CH,2026-02,2026-02-13,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,234,piece,22.79,5332.86,EUR,5332.86,synthetic-spend-CH.csv,True,direct
TXN-001179,CH,2026-03,2026-03-09,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,217,piece,22.79,4945.43,EUR,4945.43,synthetic-spend-CH.csv,True,direct
TXN-001180,CH,2026-04,2026-04-21,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,42,piece,22.79,957.18,EUR,957.18,synthetic-spend-CH.csv,True,direct
TXN-001181,CH,2026-05,2026-05-21,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,117,piece,22.79,2666.43,EUR,2666.43,synthetic-spend-CH.csv,True,direct
TXN-001182,CH,2026-06,2026-06-23,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,161,piece,22.79,3669.19,EUR,3669.19,synthetic-spend-CH.csv,True,direct
TXN-001183,CH,2026-07,2026-07-14,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,256,piece,22.79,5834.24,EUR,5834.24,synthetic-spend-CH.csv,True,direct
TXN-001184,CH,2026-08,2026-08-13,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,179,piece,22.79,4079.41,EUR,4079.41,synthetic-spend-CH.csv,True,direct
TXN-001185,CH,2026-01,2026-01-05,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,169,piece,117.26,19816.94,EUR,19816.94,synthetic-spend-CH.csv,True,direct
TXN-001186,CH,2026-02,2026-02-28,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,314,piece,117.26,36819.64,EUR,36819.64,synthetic-spend-CH.csv,True,direct
TXN-001187,CH,2026-03,2026-03-28,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,73,piece,117.26,8559.98,EUR,8559.98,synthetic-spend-CH.csv,True,direct
TXN-001188,CH,2026-04,2026-04-28,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,303,piece,117.26,35529.78,EUR,35529.78,synthetic-spend-CH.csv,True,direct
TXN-001189,CH,2026-05,2026-05-08,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,125,piece,117.26,14657.5,EUR,14657.5,synthetic-spend-CH.csv,True,direct
TXN-001190,CH,2026-06,2026-06-10,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,215,piece,117.26,25210.9,EUR,25210.9,synthetic-spend-CH.csv,True,direct
TXN-001191,CH,2026-07,2026-07-28,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,250,piece,117.26,29315.0,EUR,29315.0,synthetic-spend-CH.csv,True,direct
TXN-001192,CH,2026-08,2026-08-03,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,290,piece,117.26,34005.4,EUR,34005.4,synthetic-spend-CH.csv,True,direct
TXN-001193,CH,2026-01,2026-01-05,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,249,piece,13.64,3396.36,EUR,3396.36,synthetic-spend-CH.csv,True,indirect
