id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-004369,CL,2026-01,2026-01-26,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,138,piece,27.02,3728.76,EUR,3728.76,synthetic-spend-CL.csv,True,direct
TXN-004370,CL,2026-02,2026-02-27,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,182,piece,27.02,4917.64,EUR,4917.64,synthetic-spend-CL.csv,True,direct
TXN-004371,CL,2026-03,2026-03-25,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,296,piece,27.02,7997.92,EUR,7997.92,synthetic-spend-CL.csv,True,direct
TXN-004372,CL,2026-04,2026-04-23,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,280,piece,27.02,7565.6,EUR,7565.6,synthetic-spend-CL.csv,True,direct
TXN-004373,CL,2026-05,2026-05-24,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,99,piece,27.02,2674.98,EUR,2674.98,synthetic-spend-CL.csv,True,direct
TXN-004374,CL,2026-06,2026-06-17,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,273,piece,27.02,7376.46,EUR,7376.46,synthetic-spend-CL.csv,True,direct
TXN-004375,CL,2026-07,2026-07-04,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,219,piece,27.02,5917.38,EUR,5917.38,synthetic-spend-CL.csv,True,direct
TXN-004376,CL,2026-08,2026-08-25,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,297,piece,27.02,8024.94,EUR,8024.94,synthetic-spend-CL.csv,True,direct
TXN-004377,CL,2026-01,2026-01-13,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,153,piece,90.78,13889.34,EUR,13889.34,synthetic-spend-CL.csv,True,indirect
TXN-004378,CL,2026-02,2026-02-22,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,59,piece,90.78,5356.02,EUR,5356.02,synthetic-spend-CL.csv,True,indirect
TXN-004379,CL,2026-03,2026-03-14,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,273,piece,90.78,24782.94,EUR,24782.94,synthetic-spend-CL.csv,True,indirect
TXN-004380,CL,2026-04,2026-04-27,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,281,piece,90.78,25509.18,EUR,25509.18,synthetic-spend-CL.csv,True,indirect
TXN-004381,CL,2026-05,2026-05-14,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,111,piece,90.78,10076.58,EUR,10076.58,synthetic-spend-CL.csv,True,indirect
TXN-004382,CL,2026-06,2026-06-05,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,313,piece,90.78,28414.14,EUR,28414.14,synthetic-spend-CL.csv,True,indirect
TXN-004383,CL,2026-07,2026-07-03,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,229,piece,90.78,20788.62,EUR,20788.62,synthetic-spend-CL.csv,True,indirect
TXN-004384,CL,2026-08,2026-08-12,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,25,piece,90.78,2269.5,EUR,2269.5,synthetic-spend-CL.csv,True,indirect
TXN-004385,CL,2026-01,2026-01-15,WLF-1003,sup-helio,Kovax,Standard masking tape,kleb,79,piece,30.9,2441.1,EUR,2441.1,synthetic-spend-CL.csv,True,direct
TXN-004386,CL,2026-02,2026-02-05,WLF-1003,sup-helio,Kovax,Standard masking tape,kleb,230,piece,30.9,7107.0,EUR,7107.0,synthetic-spend-CL.csv,True,direct
TXN-004387,CL,2026-03,2026-03-22,WLF-1003,sup-helio,Kovax,Standard masking tape,kleb,92,piece,30.9,2842.8,EUR,2842.8,synthetic-spend-CL.csv,True,direct
TXN-004388,CL,2026-04,2026-04-08,WLF-1003,sup-helio,Kovax,Standard masking tape,kleb,47,piece,30.9,1452.3,EUR,1452.3,synthetic-spend-CL.csv,True,direct
TXN-004389,CL,2026-05,2026-05-04,WLF-1003,sup-helio,Kovax,Standard masking tape,kleb,184,piece,30.9,5685.6,EUR,5685.6,synthetic-spend-CL.csv,True,direct
TXN-004390,CL,2026-06,2026-06-08,WLF-1003,sup-helio,Kovax,Standard masking tape,kleb,187,piece,30.9,5778.3,EUR,5778.3,synthetic-spend-CL.csv,True,direct
TXN-004391,CL,2026-07,2026-07-20,WLF-1003,sup-helio,Kovax,Standard masking tape,kleb,225,piece,30.9,6952.5,EUR,6952.5,synthetic-spend-CL.csv,True,direct
TXN-004392,CL,2026-08,2026-08-07,WLF-1003,sup-helio,Kovax,Standard masking tape,kleb,259,piece,30.9,8003.1,EUR,8003.1,synthetic-spend-CL.csv,True,direct
