id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-003697,CN,2026-01,2026-01-13,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,217,piece,17.09,3708.53,EUR,3708.53,synthetic-spend-CN.csv,True,direct
TXN-003698,CN,2026-02,2026-02-02,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,203,piece,17.09,3469.27,EUR,3469.27,synthetic-spend-CN.csv,True,direct
TXN-003699,CN,2026-03,2026-03-11,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,193,piece,17.09,3298.37,EUR,3298.37,synthetic-spend-CN.csv,True,direct
TXN-003700,CN,2026-04,2026-04-10,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,122,piece,17.09,2084.98,EUR,2084.98,synthetic-spend-CN.csv,True,direct
TXN-003701,CN,2026-05,2026-05-01,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,199,piece,17.09,3400.91,EUR,3400.91,synthetic-spend-CN.csv,True,direct
TXN-003702,CN,2026-06,2026-06-09,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,301,piece,17.09,5144.09,EUR,5144.09,synthetic-spend-CN.csv,True,direct
TXN-003703,CN,2026-07,2026-07-16,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,48,piece,17.09,820.32,EUR,820.32,synthetic-spend-CN.csv,True,direct
TXN-003704,CN,2026-08,2026-08-06,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,75,piece,17.09,1281.75,EUR,1281.75,synthetic-spend-CN.csv,True,direct
TXN-003705,CN,2026-01,2026-01-17,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,207,piece,68.0,14076.0,EUR,14076.0,synthetic-spend-CN.csv,True,direct
TXN-003706,CN,2026-02,2026-02-26,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,240,piece,68.0,16320.0,EUR,16320.0,synthetic-spend-CN.csv,True,direct
TXN-003707,CN,2026-03,2026-03-11,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,314,piece,68.0,21352.0,EUR,21352.0,synthetic-spend-CN.csv,True,direct
TXN-003708,CN,2026-04,2026-04-01,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,270,piece,68.0,18360.0,EUR,18360.0,synthetic-spend-CN.csv,True,direct
TXN-003709,CN,2026-05,2026-05-24,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,330,piece,68.0,22440.0,EUR,22440.0,synthetic-spend-CN.csv,True,direct
TXN-003710,CN,2026-06,2026-06-10,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,110,piece,68.0,7480.0,EUR,7480.0,synthetic-spend-CN.csv,True,direct
TXN-003711,CN,2026-07,2026-07-04,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,60,piece,68.0,4080.0,EUR,4080.0,synthetic-spend-CN.csv,True,direct
TXN-003712,CN,2026-08,2026-08-05,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,300,piece,68.0,20400.0,EUR,20400.0,synthetic-spend-CN.csv,True,direct
TXN-003713,CN,2026-01,2026-01-10,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,27,piece,25.56,690.12,EUR,690.12,synthetic-spend-CN.csv,True,indirect
TXN-003714,CN,2026-02,2026-02-11,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,184,piece,25.56,4703.04,EUR,4703.04,synthetic-spend-CN.csv,True,indirect
TXN-003715,CN,2026-03,2026-03-19,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,303,piece,25.56,7744.68,EUR,7744.68,synthetic-spend-CN.csv,True,indirect
TXN-003716,CN,2026-04,2026-04-13,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,82,piece,25.56,2095.92,EUR,2095.92,synthetic-spend-CN.csv,True,indirect
TXN-003717,CN,2026-05,2026-05-18,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,255,piece,25.56,6517.8,EUR,6517.8,synthetic-spend-CN.csv,True,indirect
TXN-003718,CN,2026-06,2026-06-24,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,50,piece,25.56,1278.0,EUR,1278.0,synthetic-spend-CN.csv,True,indirect
TXN-003719,CN,2026-07,2026-07-07,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,220,piece,25.56,5623.2,EUR,5623.2,synthetic-spend-CN.csv,True,indirect
TXN-003720,CN,2026-08,2026-08-26,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,219,piece,25.56,5597.64,EUR,5597.64,synthetic-spend-CN.csv,True,indirect
TXN-003721,CN,2026-01,2026-01-12,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,80,piece,25.29,2023.2,EUR,2023.2,synthetic-spend-CN.csv,True,direct
TXN-003722,CN,2026-02,2026-02-24,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,160,piece,25.29,4046.4,EUR,4046.4,synthetic-spend-CN.csv,True,direct
TXN-003723,CN,2026-03,2026-03-21,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,170,piece,25.29,4299.3,EUR,4299.3,synthetic-spend-CN.csv,True,direct
TXN-003724,CN,2026-04,2026-04-18,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,169,piece,25.29,4274.01,EUR,4274.01,synthetic-spend-CN.csv,True,direct
TXN-003725,CN,2026-05,2026-05-24,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,210,piece,25.29,5310.9,EUR,5310.9,synthetic-spend-CN.csv,True,direct
TXN-003726,CN,2026-06,2026-06-27,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,297,piece,25.29,7511.13,EUR,7511.13,synthetic-spend-CN.csv,True,direct
TXN-003727,CN,2026-07,2026-07-28,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,127,piece,25.29,3211.83,EUR,3211.83,synthetic-spend-CN.csv,True,direct
TXN-003728,CN,2026-08,2026-08-25,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,266,piece,25.29,6727.14,EUR,6727.14,synthetic-spend-CN.csv,True,direct
TXN-003729,CN,2026-01,2026-01-23,WLF-1005,sup-solis,PPG / Nexa,Solvent-based silicone remover,kabine,36,piece,53.96,1942.56,EUR,1942.56,synthetic-spend-CN.csv,True,direct
TXN-003730,CN,2026-02,2026-02-20,WLF-1005,sup-solis,PPG / Nexa,Solvent-based silicone remover,kabine,115,piece,53.96,6205.4,EUR,6205.4,synthetic-spend-CN.csv,True,direct
TXN-003731,CN,2026-03,2026-03-12,WLF-1005,sup-solis,PPG / Nexa,Solvent-based silicone remover,kabine,187,piece,53.96,10090.52,EUR,10090.52,synthetic-spend-CN.csv,True,direct
TXN-003732,CN,2026-04,2026-04-12,WLF-1005,sup-solis,PPG / Nexa,Solvent-based silicone remover,kabine,293,piece,53.96,15810.28,EUR,15810.28,synthetic-spend-CN.csv,True,direct
TXN-003733,CN,2026-05,2026-05-17,WLF-1005,sup-solis,PPG / Nexa,Solvent-based silicone remover,kabine,215,piece,53.96,11601.4,EUR,11601.4,synthetic-spend-CN.csv,True,direct
TXN-003734,CN,2026-06,2026-06-13,WLF-1005,sup-solis,PPG / Nexa,Solvent-based silicone remover,kabine,200,piece,53.96,10792.0,EUR,10792.0,synthetic-spend-CN.csv,True,direct
TXN-003735,CN,2026-07,2026-07-02,WLF-1005,sup-solis,PPG / Nexa,Solvent-based silicone remover,kabine,140,piece,53.96,7554.4,EUR,7554.4,synthetic-spend-CN.csv,True,direct
TXN-003736,CN,2026-08,2026-08-13,WLF-1005,sup-solis,PPG / Nexa,Solvent-based silicone remover,kabine,287,piece,53.96,15486.52,EUR,15486.52,synthetic-spend-CN.csv,True,direct
TXN-003737,CN,2026-01,2026-01-26,WLF-1006,sup-orbit,Würth,Half mask / spray-painting respirator,psa,302,piece,42.87,12946.74,EUR,12946.74,synthetic-spend-CN.csv,True,indirect
TXN-003738,CN,2026-02,2026-02-05,WLF-1006,sup-orbit,Würth,Half mask / spray-painting respirator,psa,51,piece,42.87,2186.37,EUR,2186.37,synthetic-spend-CN.csv,True,indirect
TXN-003739,CN,2026-03,2026-03-12,WLF-1006,sup-orbit,Würth,Half mask / spray-painting respirator,psa,153,piece,42.87,6559.11,EUR,6559.11,synthetic-spend-CN.csv,True,indirect
TXN-003740,CN,2026-04,2026-04-21,WLF-1006,sup-orbit,Würth,Half mask / spray-painting respirator,psa,156,piece,42.87,6687.72,EUR,6687.72,synthetic-spend-CN.csv,True,indirect
TXN-003741,CN,2026-05,2026-05-10,WLF-1006,sup-orbit,Würth,Half mask / spray-painting respirator,psa,68,piece,42.87,2915.16,EUR,2915.16,synthetic-spend-CN.csv,True,indirect
TXN-003742,CN,2026-06,2026-06-06,WLF-1006,sup-orbit,Würth,Half mask / spray-painting respirator,psa,179,piece,42.87,7673.73,EUR,7673.73,synthetic-spend-CN.csv,True,indirect
TXN-003743,CN,2026-07,2026-07-07,WLF-1006,sup-orbit,Würth,Half mask / spray-painting respirator,psa,164,piece,42.87,7030.68,EUR,7030.68,synthetic-spend-CN.csv,True,indirect
