id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-001513,CZ,2026-01,2026-01-08,WLF-1001,sup-vanta,Starcke,Graduated mixing cup,lack,251,piece,23.51,5901.01,CZK,146345.05,synthetic-spend-CZ.csv,True,indirect
TXN-001514,CZ,2026-02,2026-02-11,WLF-1001,sup-vanta,Starcke,Graduated mixing cup,lack,95,piece,23.51,2233.45,CZK,55389.56,synthetic-spend-CZ.csv,True,indirect
TXN-001515,CZ,2026-03,2026-03-02,WLF-1001,sup-vanta,Starcke,Graduated mixing cup,lack,132,piece,23.51,3103.32,CZK,76962.34,synthetic-spend-CZ.csv,True,indirect
TXN-001516,CZ,2026-04,2026-04-17,WLF-1001,sup-vanta,Starcke,Graduated mixing cup,lack,301,piece,23.51,7076.51,CZK,175497.45,synthetic-spend-CZ.csv,True,indirect
TXN-001517,CZ,2026-05,2026-05-18,WLF-1001,sup-vanta,Starcke,Graduated mixing cup,lack,185,piece,23.51,4349.35,CZK,107863.88,synthetic-spend-CZ.csv,True,indirect
TXN-001518,CZ,2026-06,2026-06-02,WLF-1001,sup-vanta,Starcke,Graduated mixing cup,lack,96,piece,23.51,2256.96,CZK,55972.61,synthetic-spend-CZ.csv,True,indirect
TXN-001519,CZ,2026-07,2026-07-01,WLF-1001,sup-vanta,Starcke,Graduated mixing cup,lack,324,piece,23.51,7617.24,CZK,188907.55,synthetic-spend-CZ.csv,True,indirect
TXN-001520,CZ,2026-08,2026-08-20,WLF-1001,sup-vanta,Starcke,Graduated mixing cup,lack,33,piece,23.51,775.83,CZK,19240.58,synthetic-spend-CZ.csv,True,indirect
TXN-001521,CZ,2026-01,2026-01-05,WLF-1002,sup-aster,3M,"Sanding discs 150 mm, coarse",schleif,133,piece,62.47,8308.51,CZK,206051.05,synthetic-spend-CZ.csv,True,direct
TXN-001522,CZ,2026-02,2026-02-04,WLF-1002,sup-aster,3M,"Sanding discs 150 mm, coarse",schleif,85,piece,62.47,5309.95,CZK,131686.76,synthetic-spend-CZ.csv,True,direct
TXN-001523,CZ,2026-03,2026-03-02,WLF-1002,sup-aster,3M,"Sanding discs 150 mm, coarse",schleif,281,piece,62.47,17554.07,CZK,435340.94,synthetic-spend-CZ.csv,True,direct
TXN-001524,CZ,2026-04,2026-04-09,WLF-1002,sup-aster,3M,"Sanding discs 150 mm, coarse",schleif,261,piece,62.47,16304.67,CZK,404355.82,synthetic-spend-CZ.csv,True,direct
TXN-001525,CZ,2026-05,2026-05-03,WLF-1002,sup-aster,3M,"Sanding discs 150 mm, coarse",schleif,68,piece,62.47,4247.96,CZK,105349.41,synthetic-spend-CZ.csv,True,direct
TXN-001526,CZ,2026-06,2026-06-24,WLF-1002,sup-aster,3M,"Sanding discs 150 mm, coarse",schleif,140,piece,62.47,8745.8,CZK,216895.84,synthetic-spend-CZ.csv,True,direct
TXN-001527,CZ,2026-07,2026-07-23,WLF-1002,sup-aster,3M,"Sanding discs 150 mm, coarse",schleif,323,piece,62.47,20177.81,CZK,500409.69,synthetic-spend-CZ.csv,True,direct
TXN-001528,CZ,2026-08,2026-08-07,WLF-1002,sup-aster,3M,"Sanding discs 150 mm, coarse",schleif,30,piece,62.47,1874.1,CZK,46477.68,synthetic-spend-CZ.csv,True,direct
TXN-001529,CZ,2026-01,2026-01-14,WLF-1003,sup-velora,Glasurit (BASF),Standard masking tape,kleb,65,piece,13.09,850.85,CZK,21101.08,synthetic-spend-CZ.csv,True,direct
TXN-001530,CZ,2026-02,2026-02-27,WLF-1003,sup-velora,Glasurit (BASF),Standard masking tape,kleb,113,piece,13.09,1479.17,CZK,36683.42,synthetic-spend-CZ.csv,True,direct
TXN-001531,CZ,2026-03,2026-03-05,WLF-1003,sup-velora,Glasurit (BASF),Standard masking tape,kleb,256,piece,13.09,3351.04,CZK,83105.79,synthetic-spend-CZ.csv,True,direct
TXN-001532,CZ,2026-04,2026-04-01,WLF-1003,sup-velora,Glasurit (BASF),Standard masking tape,kleb,96,piece,13.09,1256.64,CZK,31164.67,synthetic-spend-CZ.csv,True,direct
TXN-001533,CZ,2026-05,2026-05-27,WLF-1003,sup-velora,Glasurit (BASF),Standard masking tape,kleb,91,piece,13.09,1191.19,CZK,29541.51,synthetic-spend-CZ.csv,True,direct
TXN-001534,CZ,2026-06,2026-06-15,WLF-1003,sup-velora,Glasurit (BASF),Standard masking tape,kleb,115,piece,13.09,1505.35,CZK,37332.68,synthetic-spend-CZ.csv,True,direct
TXN-001535,CZ,2026-07,2026-07-21,WLF-1003,sup-velora,Glasurit (BASF),Standard masking tape,kleb,259,piece,13.09,3390.31,CZK,84079.69,synthetic-spend-CZ.csv,True,direct
TXN-001536,CZ,2026-08,2026-08-20,WLF-1003,sup-velora,Glasurit (BASF),Standard masking tape,kleb,218,piece,13.09,2853.62,CZK,70769.78,synthetic-spend-CZ.csv,True,direct
