id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-000505,FR,2026-01,2026-01-01,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,118,piece,20.98,2475.64,EUR,2475.64,synthetic-spend-FR.csv,True,indirect
TXN-000506,FR,2026-02,2026-02-21,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,24,piece,20.98,503.52,EUR,503.52,synthetic-spend-FR.csv,True,indirect
TXN-000507,FR,2026-03,2026-03-06,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,138,piece,20.98,2895.24,EUR,2895.24,synthetic-spend-FR.csv,True,indirect
TXN-000508,FR,2026-04,2026-04-06,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,310,piece,20.98,6503.8,EUR,6503.8,synthetic-spend-FR.csv,True,indirect
TXN-000509,FR,2026-05,2026-05-05,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,136,piece,20.98,2853.28,EUR,2853.28,synthetic-spend-FR.csv,True,indirect
TXN-000510,FR,2026-06,2026-06-11,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,277,piece,20.98,5811.46,EUR,5811.46,synthetic-spend-FR.csv,True,indirect
TXN-000511,FR,2026-07,2026-07-13,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,123,piece,20.98,2580.54,EUR,2580.54,synthetic-spend-FR.csv,True,indirect
TXN-000512,FR,2026-08,2026-08-13,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,96,piece,20.98,2014.08,EUR,2014.08,synthetic-spend-FR.csv,True,indirect
TXN-000513,FR,2026-01,2026-01-23,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,41,piece,101.54,4163.14,EUR,4163.14,synthetic-spend-FR.csv,True,direct
TXN-000514,FR,2026-02,2026-02-23,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,42,piece,101.54,4264.68,EUR,4264.68,synthetic-spend-FR.csv,True,direct
TXN-000515,FR,2026-03,2026-03-06,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,74,piece,101.54,7513.96,EUR,7513.96,synthetic-spend-FR.csv,True,direct
TXN-000516,FR,2026-04,2026-04-21,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,263,piece,101.54,26705.02,EUR,26705.02,synthetic-spend-FR.csv,True,direct
TXN-000517,FR,2026-05,2026-05-01,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,206,piece,101.54,20917.24,EUR,20917.24,synthetic-spend-FR.csv,True,direct
TXN-000518,FR,2026-06,2026-06-15,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,172,piece,101.54,17464.88,EUR,17464.88,synthetic-spend-FR.csv,True,direct
TXN-000519,FR,2026-07,2026-07-21,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,255,piece,101.54,25892.7,EUR,25892.7,synthetic-spend-FR.csv,True,direct
TXN-000520,FR,2026-08,2026-08-23,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,254,piece,101.54,25791.16,EUR,25791.16,synthetic-spend-FR.csv,True,direct
TXN-000521,FR,2026-01,2026-01-20,WLF-1003,sup-cobalt,tesa,Standard masking tape,kleb,60,piece,13.52,811.2,EUR,811.2,synthetic-spend-FR.csv,True,direct
TXN-000522,FR,2026-02,2026-02-09,WLF-1003,sup-cobalt,tesa,Standard masking tape,kleb,293,piece,13.52,3961.36,EUR,3961.36,synthetic-spend-FR.csv,True,direct
TXN-000523,FR,2026-03,2026-03-02,WLF-1003,sup-cobalt,tesa,Standard masking tape,kleb,139,piece,13.52,1879.28,EUR,1879.28,synthetic-spend-FR.csv,True,direct
TXN-000524,FR,2026-04,2026-04-10,WLF-1003,sup-cobalt,tesa,Standard masking tape,kleb,307,piece,13.52,4150.64,EUR,4150.64,synthetic-spend-FR.csv,True,direct
