id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-002185,HR,2026-01,2026-01-18,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,129,piece,28.87,3724.23,EUR,3724.23,synthetic-spend-HR.csv,True,direct
TXN-002186,HR,2026-02,2026-02-23,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,80,piece,28.87,2309.6,EUR,2309.6,synthetic-spend-HR.csv,True,direct
TXN-002187,HR,2026-03,2026-03-08,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,208,piece,28.87,6004.96,EUR,6004.96,synthetic-spend-HR.csv,True,direct
TXN-002188,HR,2026-04,2026-04-11,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,305,piece,28.87,8805.35,EUR,8805.35,synthetic-spend-HR.csv,True,direct
TXN-002189,HR,2026-05,2026-05-14,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,308,piece,28.87,8891.96,EUR,8891.96,synthetic-spend-HR.csv,True,direct
TXN-002190,HR,2026-06,2026-06-27,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,237,piece,28.87,6842.19,EUR,6842.19,synthetic-spend-HR.csv,True,direct
TXN-002191,HR,2026-07,2026-07-17,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,167,piece,28.87,4821.29,EUR,4821.29,synthetic-spend-HR.csv,True,direct
TXN-002192,HR,2026-08,2026-08-16,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,237,piece,28.87,6842.19,EUR,6842.19,synthetic-spend-HR.csv,True,direct
TXN-002193,HR,2026-01,2026-01-21,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,315,piece,81.63,25713.45,EUR,25713.45,synthetic-spend-HR.csv,True,direct
TXN-002194,HR,2026-02,2026-02-24,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,176,piece,81.63,14366.88,EUR,14366.88,synthetic-spend-HR.csv,True,direct
TXN-002195,HR,2026-03,2026-03-18,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,239,piece,81.63,19509.57,EUR,19509.57,synthetic-spend-HR.csv,True,direct
TXN-002196,HR,2026-04,2026-04-15,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,68,piece,81.63,5550.84,EUR,5550.84,synthetic-spend-HR.csv,True,direct
TXN-002197,HR,2026-05,2026-05-13,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,294,piece,81.63,23999.22,EUR,23999.22,synthetic-spend-HR.csv,True,direct
TXN-002198,HR,2026-06,2026-06-06,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,192,piece,81.63,15672.96,EUR,15672.96,synthetic-spend-HR.csv,True,direct
TXN-002199,HR,2026-07,2026-07-06,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,114,piece,81.63,9305.82,EUR,9305.82,synthetic-spend-HR.csv,True,direct
TXN-002200,HR,2026-08,2026-08-07,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,234,piece,81.63,19101.42,EUR,19101.42,synthetic-spend-HR.csv,True,direct
TXN-002201,HR,2026-01,2026-01-15,WLF-1003,sup-cobalt,tesa,Standard masking tape,kleb,191,piece,29.43,5621.13,EUR,5621.13,synthetic-spend-HR.csv,True,indirect
TXN-002202,HR,2026-02,2026-02-28,WLF-1003,sup-cobalt,tesa,Standard masking tape,kleb,31,piece,29.43,912.33,EUR,912.33,synthetic-spend-HR.csv,True,indirect
TXN-002203,HR,2026-03,2026-03-14,WLF-1003,sup-cobalt,tesa,Standard masking tape,kleb,244,piece,29.43,7180.92,EUR,7180.92,synthetic-spend-HR.csv,True,indirect
TXN-002204,HR,2026-04,2026-04-26,WLF-1003,sup-cobalt,tesa,Standard masking tape,kleb,201,piece,29.43,5915.43,EUR,5915.43,synthetic-spend-HR.csv,True,indirect
TXN-002205,HR,2026-05,2026-05-25,WLF-1003,sup-cobalt,tesa,Standard masking tape,kleb,224,piece,29.43,6592.32,EUR,6592.32,synthetic-spend-HR.csv,True,indirect
TXN-002206,HR,2026-06,2026-06-21,WLF-1003,sup-cobalt,tesa,Standard masking tape,kleb,80,piece,29.43,2354.4,EUR,2354.4,synthetic-spend-HR.csv,True,indirect
TXN-002207,HR,2026-07,2026-07-27,WLF-1003,sup-cobalt,tesa,Standard masking tape,kleb,141,piece,29.43,4149.63,EUR,4149.63,synthetic-spend-HR.csv,True,indirect
TXN-002208,HR,2026-08,2026-08-02,WLF-1003,sup-cobalt,tesa,Standard masking tape,kleb,172,piece,29.43,5061.96,EUR,5061.96,synthetic-spend-HR.csv,True,indirect
TXN-002209,HR,2026-01,2026-01-24,WLF-1004,sup-solis,PPG / Nexa,Cutting compound (coarse/medium),polier,251,piece,33.25,8345.75,EUR,8345.75,synthetic-spend-HR.csv,True,direct
TXN-002210,HR,2026-02,2026-02-07,WLF-1004,sup-solis,PPG / Nexa,Cutting compound (coarse/medium),polier,294,piece,33.25,9775.5,EUR,9775.5,synthetic-spend-HR.csv,True,direct
TXN-002211,HR,2026-03,2026-03-24,WLF-1004,sup-solis,PPG / Nexa,Cutting compound (coarse/medium),polier,131,piece,33.25,4355.75,EUR,4355.75,synthetic-spend-HR.csv,True,direct
TXN-002212,HR,2026-04,2026-04-19,WLF-1004,sup-solis,PPG / Nexa,Cutting compound (coarse/medium),polier,75,piece,33.25,2493.75,EUR,2493.75,synthetic-spend-HR.csv,True,direct
TXN-002213,HR,2026-05,2026-05-15,WLF-1004,sup-solis,PPG / Nexa,Cutting compound (coarse/medium),polier,60,piece,33.25,1995.0,EUR,1995.0,synthetic-spend-HR.csv,True,direct
TXN-002214,HR,2026-06,2026-06-25,WLF-1004,sup-solis,PPG / Nexa,Cutting compound (coarse/medium),polier,100,piece,33.25,3325.0,EUR,3325.0,synthetic-spend-HR.csv,True,direct
TXN-002215,HR,2026-07,2026-07-16,WLF-1004,sup-solis,PPG / Nexa,Cutting compound (coarse/medium),polier,233,piece,33.25,7747.25,EUR,7747.25,synthetic-spend-HR.csv,True,direct
TXN-002216,HR,2026-08,2026-08-18,WLF-1004,sup-solis,PPG / Nexa,Cutting compound (coarse/medium),polier,98,piece,33.25,3258.5,EUR,3258.5,synthetic-spend-HR.csv,True,direct
TXN-002217,HR,2026-01,2026-01-15,WLF-1005,sup-orbit,Würth,Solvent-based silicone remover,kabine,45,piece,30.56,1375.2,EUR,1375.2,synthetic-spend-HR.csv,True,direct
