id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-000673,IT,2026-01,2026-01-28,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,327,piece,30.22,9881.94,EUR,9881.94,synthetic-spend-IT.csv,True,direct
TXN-000674,IT,2026-02,2026-02-22,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,78,piece,30.22,2357.16,EUR,2357.16,synthetic-spend-IT.csv,True,direct
TXN-000675,IT,2026-03,2026-03-13,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,295,piece,30.22,8914.9,EUR,8914.9,synthetic-spend-IT.csv,True,direct
TXN-000676,IT,2026-04,2026-04-24,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,155,piece,30.22,4684.1,EUR,4684.1,synthetic-spend-IT.csv,True,direct
TXN-000677,IT,2026-05,2026-05-18,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,185,piece,30.22,5590.7,EUR,5590.7,synthetic-spend-IT.csv,True,direct
TXN-000678,IT,2026-06,2026-06-05,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,102,piece,30.22,3082.44,EUR,3082.44,synthetic-spend-IT.csv,True,direct
TXN-000679,IT,2026-07,2026-07-27,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,70,piece,30.22,2115.4,EUR,2115.4,synthetic-spend-IT.csv,True,direct
TXN-000680,IT,2026-08,2026-08-21,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,299,piece,30.22,9035.78,EUR,9035.78,synthetic-spend-IT.csv,True,direct
TXN-000681,IT,2026-01,2026-01-24,WLF-1002,sup-cobalt,tesa,"Sanding discs 150 mm, coarse",schleif,151,piece,94.58,14281.58,EUR,14281.58,synthetic-spend-IT.csv,True,direct
TXN-000682,IT,2026-02,2026-02-19,WLF-1002,sup-cobalt,tesa,"Sanding discs 150 mm, coarse",schleif,115,piece,94.58,10876.7,EUR,10876.7,synthetic-spend-IT.csv,True,direct
