id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-003865,JP,2026-01,2026-01-24,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,201,piece,35.19,7073.19,EUR,7073.19,synthetic-spend-JP.csv,True,direct
TXN-003866,JP,2026-02,2026-02-25,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,114,piece,35.19,4011.66,EUR,4011.66,synthetic-spend-JP.csv,True,direct
TXN-003867,JP,2026-03,2026-03-25,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,314,piece,35.19,11049.66,EUR,11049.66,synthetic-spend-JP.csv,True,direct
TXN-003868,JP,2026-04,2026-04-12,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,142,piece,35.19,4996.98,EUR,4996.98,synthetic-spend-JP.csv,True,direct
TXN-003869,JP,2026-05,2026-05-04,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,24,piece,35.19,844.56,EUR,844.56,synthetic-spend-JP.csv,True,direct
TXN-003870,JP,2026-06,2026-06-15,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,27,piece,35.19,950.13,EUR,950.13,synthetic-spend-JP.csv,True,direct
TXN-003871,JP,2026-07,2026-07-26,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,228,piece,35.19,8023.32,EUR,8023.32,synthetic-spend-JP.csv,True,direct
TXN-003872,JP,2026-08,2026-08-20,WLF-1001,sup-novex,Mirka,Graduated mixing cup,lack,247,piece,35.19,8691.93,EUR,8691.93,synthetic-spend-JP.csv,True,direct
TXN-003873,JP,2026-01,2026-01-20,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,112,piece,71.15,7968.8,EUR,7968.8,synthetic-spend-JP.csv,True,indirect
TXN-003874,JP,2026-02,2026-02-17,WLF-1002,sup-arcus,SATA,"Sanding discs 150 mm, coarse",schleif,191,piece,71.15,13589.65,EUR,13589.65,synthetic-spend-JP.csv,True,indirect
