id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-003361,ME,2026-01,2026-01-03,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,59,piece,20.41,1204.19,EUR,1204.19,synthetic-spend-ME.csv,True,direct
TXN-003362,ME,2026-02,2026-02-21,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,143,piece,20.41,2918.63,EUR,2918.63,synthetic-spend-ME.csv,True,direct
TXN-003363,ME,2026-03,2026-03-08,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,123,piece,20.41,2510.43,EUR,2510.43,synthetic-spend-ME.csv,True,direct
TXN-003364,ME,2026-04,2026-04-01,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,138,piece,20.41,2816.58,EUR,2816.58,synthetic-spend-ME.csv,True,direct
TXN-003365,ME,2026-05,2026-05-26,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,193,piece,20.41,3939.13,EUR,3939.13,synthetic-spend-ME.csv,True,direct
TXN-003366,ME,2026-06,2026-06-05,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,240,piece,20.41,4898.4,EUR,4898.4,synthetic-spend-ME.csv,True,direct
TXN-003367,ME,2026-07,2026-07-16,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,177,piece,20.41,3612.57,EUR,3612.57,synthetic-spend-ME.csv,True,direct
TXN-003368,ME,2026-08,2026-08-20,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,279,piece,20.41,5694.39,EUR,5694.39,synthetic-spend-ME.csv,True,direct
TXN-003369,ME,2026-01,2026-01-07,WLF-1002,sup-velora,Glasurit (BASF),"Sanding discs 150 mm, coarse",schleif,213,piece,51.04,10871.52,EUR,10871.52,synthetic-spend-ME.csv,True,indirect
TXN-003370,ME,2026-02,2026-02-08,WLF-1002,sup-velora,Glasurit (BASF),"Sanding discs 150 mm, coarse",schleif,150,piece,51.04,7656.0,EUR,7656.0,synthetic-spend-ME.csv,True,indirect
TXN-003371,ME,2026-03,2026-03-16,WLF-1002,sup-velora,Glasurit (BASF),"Sanding discs 150 mm, coarse",schleif,308,piece,51.04,15720.32,EUR,15720.32,synthetic-spend-ME.csv,True,indirect
TXN-003372,ME,2026-04,2026-04-12,WLF-1002,sup-velora,Glasurit (BASF),"Sanding discs 150 mm, coarse",schleif,161,piece,51.04,8217.44,EUR,8217.44,synthetic-spend-ME.csv,True,indirect
TXN-003373,ME,2026-05,2026-05-19,WLF-1002,sup-velora,Glasurit (BASF),"Sanding discs 150 mm, coarse",schleif,227,piece,51.04,11586.08,EUR,11586.08,synthetic-spend-ME.csv,True,indirect
TXN-003374,ME,2026-06,2026-06-16,WLF-1002,sup-velora,Glasurit (BASF),"Sanding discs 150 mm, coarse",schleif,286,piece,51.04,14597.44,EUR,14597.44,synthetic-spend-ME.csv,True,indirect
TXN-003375,ME,2026-07,2026-07-26,WLF-1002,sup-velora,Glasurit (BASF),"Sanding discs 150 mm, coarse",schleif,91,piece,51.04,4644.64,EUR,4644.64,synthetic-spend-ME.csv,True,indirect
TXN-003376,ME,2026-08,2026-08-11,WLF-1002,sup-velora,Glasurit (BASF),"Sanding discs 150 mm, coarse",schleif,100,piece,51.04,5104.0,EUR,5104.0,synthetic-spend-ME.csv,True,indirect
