id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-003193,MK,2026-01,2026-01-25,WLF-1001,sup-vanta,Starcke,Graduated mixing cup,lack,76,piece,26.45,2010.2,EUR,2010.2,synthetic-spend-MK.csv,True,direct
TXN-003194,MK,2026-02,2026-02-08,WLF-1001,sup-vanta,Starcke,Graduated mixing cup,lack,330,piece,26.45,8728.5,EUR,8728.5,synthetic-spend-MK.csv,True,direct
TXN-003195,MK,2026-03,2026-03-21,WLF-1001,sup-vanta,Starcke,Graduated mixing cup,lack,114,piece,26.45,3015.3,EUR,3015.3,synthetic-spend-MK.csv,True,direct
TXN-003196,MK,2026-04,2026-04-18,WLF-1001,sup-vanta,Starcke,Graduated mixing cup,lack,135,piece,26.45,3570.75,EUR,3570.75,synthetic-spend-MK.csv,True,direct
TXN-003197,MK,2026-05,2026-05-10,WLF-1001,sup-vanta,Starcke,Graduated mixing cup,lack,103,piece,26.45,2724.35,EUR,2724.35,synthetic-spend-MK.csv,True,direct
TXN-003198,MK,2026-06,2026-06-05,WLF-1001,sup-vanta,Starcke,Graduated mixing cup,lack,28,piece,26.45,740.6,EUR,740.6,synthetic-spend-MK.csv,True,direct
TXN-003199,MK,2026-07,2026-07-02,WLF-1001,sup-vanta,Starcke,Graduated mixing cup,lack,145,piece,26.45,3835.25,EUR,3835.25,synthetic-spend-MK.csv,True,direct
TXN-003200,MK,2026-08,2026-08-19,WLF-1001,sup-vanta,Starcke,Graduated mixing cup,lack,159,piece,26.45,4205.55,EUR,4205.55,synthetic-spend-MK.csv,True,direct
TXN-003201,MK,2026-01,2026-01-05,WLF-1002,sup-aster,3M,"Sanding discs 150 mm, coarse",schleif,327,piece,45.99,15038.73,EUR,15038.73,synthetic-spend-MK.csv,True,direct
TXN-003202,MK,2026-02,2026-02-21,WLF-1002,sup-aster,3M,"Sanding discs 150 mm, coarse",schleif,179,piece,45.99,8232.21,EUR,8232.21,synthetic-spend-MK.csv,True,direct
TXN-003203,MK,2026-03,2026-03-24,WLF-1002,sup-aster,3M,"Sanding discs 150 mm, coarse",schleif,235,piece,45.99,10807.65,EUR,10807.65,synthetic-spend-MK.csv,True,direct
TXN-003204,MK,2026-04,2026-04-05,WLF-1002,sup-aster,3M,"Sanding discs 150 mm, coarse",schleif,280,piece,45.99,12877.2,EUR,12877.2,synthetic-spend-MK.csv,True,direct
TXN-003205,MK,2026-05,2026-05-03,WLF-1002,sup-aster,3M,"Sanding discs 150 mm, coarse",schleif,52,piece,45.99,2391.48,EUR,2391.48,synthetic-spend-MK.csv,True,direct
TXN-003206,MK,2026-06,2026-06-18,WLF-1002,sup-aster,3M,"Sanding discs 150 mm, coarse",schleif,126,piece,45.99,5794.74,EUR,5794.74,synthetic-spend-MK.csv,True,direct
TXN-003207,MK,2026-07,2026-07-11,WLF-1002,sup-aster,3M,"Sanding discs 150 mm, coarse",schleif,150,piece,45.99,6898.5,EUR,6898.5,synthetic-spend-MK.csv,True,direct
TXN-003208,MK,2026-08,2026-08-26,WLF-1002,sup-aster,3M,"Sanding discs 150 mm, coarse",schleif,146,piece,45.99,6714.54,EUR,6714.54,synthetic-spend-MK.csv,True,direct
TXN-003209,MK,2026-01,2026-01-16,WLF-1003,sup-velora,Glasurit (BASF),Standard masking tape,kleb,318,piece,17.59,5593.62,EUR,5593.62,synthetic-spend-MK.csv,True,indirect
TXN-003210,MK,2026-02,2026-02-22,WLF-1003,sup-velora,Glasurit (BASF),Standard masking tape,kleb,254,piece,17.59,4467.86,EUR,4467.86,synthetic-spend-MK.csv,True,indirect
TXN-003211,MK,2026-03,2026-03-20,WLF-1003,sup-velora,Glasurit (BASF),Standard masking tape,kleb,75,piece,17.59,1319.25,EUR,1319.25,synthetic-spend-MK.csv,True,indirect
TXN-003212,MK,2026-04,2026-04-23,WLF-1003,sup-velora,Glasurit (BASF),Standard masking tape,kleb,168,piece,17.59,2955.12,EUR,2955.12,synthetic-spend-MK.csv,True,indirect
TXN-003213,MK,2026-05,2026-05-08,WLF-1003,sup-velora,Glasurit (BASF),Standard masking tape,kleb,50,piece,17.59,879.5,EUR,879.5,synthetic-spend-MK.csv,True,indirect
TXN-003214,MK,2026-06,2026-06-12,WLF-1003,sup-velora,Glasurit (BASF),Standard masking tape,kleb,89,piece,17.59,1565.51,EUR,1565.51,synthetic-spend-MK.csv,True,indirect
TXN-003215,MK,2026-07,2026-07-02,WLF-1003,sup-velora,Glasurit (BASF),Standard masking tape,kleb,35,piece,17.59,615.65,EUR,615.65,synthetic-spend-MK.csv,True,indirect
TXN-003216,MK,2026-08,2026-08-25,WLF-1003,sup-velora,Glasurit (BASF),Standard masking tape,kleb,29,piece,17.59,510.11,EUR,510.11,synthetic-spend-MK.csv,True,indirect
TXN-003217,MK,2026-01,2026-01-07,WLF-1004,sup-lumen,Finixa,Cutting compound (coarse/medium),polier,54,piece,32.55,1757.7,EUR,1757.7,synthetic-spend-MK.csv,True,direct
TXN-003218,MK,2026-02,2026-02-22,WLF-1004,sup-lumen,Finixa,Cutting compound (coarse/medium),polier,160,piece,32.55,5208.0,EUR,5208.0,synthetic-spend-MK.csv,True,direct
TXN-003219,MK,2026-03,2026-03-17,WLF-1004,sup-lumen,Finixa,Cutting compound (coarse/medium),polier,202,piece,32.55,6575.1,EUR,6575.1,synthetic-spend-MK.csv,True,direct
TXN-003220,MK,2026-04,2026-04-07,WLF-1004,sup-lumen,Finixa,Cutting compound (coarse/medium),polier,115,piece,32.55,3743.25,EUR,3743.25,synthetic-spend-MK.csv,True,direct
TXN-003221,MK,2026-05,2026-05-11,WLF-1004,sup-lumen,Finixa,Cutting compound (coarse/medium),polier,311,piece,32.55,10123.05,EUR,10123.05,synthetic-spend-MK.csv,True,direct
TXN-003222,MK,2026-06,2026-06-21,WLF-1004,sup-lumen,Finixa,Cutting compound (coarse/medium),polier,230,piece,32.55,7486.5,EUR,7486.5,synthetic-spend-MK.csv,True,direct
TXN-003223,MK,2026-07,2026-07-17,WLF-1004,sup-lumen,Finixa,Cutting compound (coarse/medium),polier,319,piece,32.55,10383.45,EUR,10383.45,synthetic-spend-MK.csv,True,direct
TXN-003224,MK,2026-08,2026-08-07,WLF-1004,sup-lumen,Finixa,Cutting compound (coarse/medium),polier,47,piece,32.55,1529.85,EUR,1529.85,synthetic-spend-MK.csv,True,direct
TXN-003225,MK,2026-01,2026-01-20,WLF-1005,sup-novex,Mirka,Solvent-based silicone remover,kabine,78,piece,51.88,4046.64,EUR,4046.64,synthetic-spend-MK.csv,True,direct
TXN-003226,MK,2026-02,2026-02-10,WLF-1005,sup-novex,Mirka,Solvent-based silicone remover,kabine,145,piece,51.88,7522.6,EUR,7522.6,synthetic-spend-MK.csv,True,direct
TXN-003227,MK,2026-03,2026-03-06,WLF-1005,sup-novex,Mirka,Solvent-based silicone remover,kabine,238,piece,51.88,12347.44,EUR,12347.44,synthetic-spend-MK.csv,True,direct
TXN-003228,MK,2026-04,2026-04-23,WLF-1005,sup-novex,Mirka,Solvent-based silicone remover,kabine,113,piece,51.88,5862.44,EUR,5862.44,synthetic-spend-MK.csv,True,direct
TXN-003229,MK,2026-05,2026-05-22,WLF-1005,sup-novex,Mirka,Solvent-based silicone remover,kabine,143,piece,51.88,7418.84,EUR,7418.84,synthetic-spend-MK.csv,True,direct
TXN-003230,MK,2026-06,2026-06-16,WLF-1005,sup-novex,Mirka,Solvent-based silicone remover,kabine,319,piece,51.88,16549.72,EUR,16549.72,synthetic-spend-MK.csv,True,direct
TXN-003231,MK,2026-07,2026-07-15,WLF-1005,sup-novex,Mirka,Solvent-based silicone remover,kabine,194,piece,51.88,10064.72,EUR,10064.72,synthetic-spend-MK.csv,True,direct
TXN-003232,MK,2026-08,2026-08-19,WLF-1005,sup-novex,Mirka,Solvent-based silicone remover,kabine,45,piece,51.88,2334.6,EUR,2334.6,synthetic-spend-MK.csv,True,direct
TXN-003233,MK,2026-01,2026-01-11,WLF-1006,sup-arcus,SATA,Half mask / spray-painting respirator,psa,283,piece,23.43,6630.69,EUR,6630.69,synthetic-spend-MK.csv,True,indirect
TXN-003234,MK,2026-02,2026-02-15,WLF-1006,sup-arcus,SATA,Half mask / spray-painting respirator,psa,161,piece,23.43,3772.23,EUR,3772.23,synthetic-spend-MK.csv,True,indirect
TXN-003235,MK,2026-03,2026-03-14,WLF-1006,sup-arcus,SATA,Half mask / spray-painting respirator,psa,173,piece,23.43,4053.39,EUR,4053.39,synthetic-spend-MK.csv,True,indirect
TXN-003236,MK,2026-04,2026-04-08,WLF-1006,sup-arcus,SATA,Half mask / spray-painting respirator,psa,302,piece,23.43,7075.86,EUR,7075.86,synthetic-spend-MK.csv,True,indirect
TXN-003237,MK,2026-05,2026-05-10,WLF-1006,sup-arcus,SATA,Half mask / spray-painting respirator,psa,289,piece,23.43,6771.27,EUR,6771.27,synthetic-spend-MK.csv,True,indirect
TXN-003238,MK,2026-06,2026-06-28,WLF-1006,sup-arcus,SATA,Half mask / spray-painting respirator,psa,112,piece,23.43,2624.16,EUR,2624.16,synthetic-spend-MK.csv,True,indirect
TXN-003239,MK,2026-07,2026-07-18,WLF-1006,sup-arcus,SATA,Half mask / spray-painting respirator,psa,268,piece,23.43,6279.24,EUR,6279.24,synthetic-spend-MK.csv,True,indirect
TXN-003240,MK,2026-08,2026-08-26,WLF-1006,sup-arcus,SATA,Half mask / spray-painting respirator,psa,86,piece,23.43,2014.98,EUR,2014.98,synthetic-spend-MK.csv,True,indirect
TXN-003241,MK,2026-01,2026-01-26,WLF-1007,sup-cobalt,tesa,"Random orbital sander 150 mm, 5 mm orbit",werkstatt,265,piece,34.78,9216.7,EUR,9216.7,synthetic-spend-MK.csv,True,direct
TXN-003242,MK,2026-02,2026-02-16,WLF-1007,sup-cobalt,tesa,"Random orbital sander 150 mm, 5 mm orbit",werkstatt,215,piece,34.78,7477.7,EUR,7477.7,synthetic-spend-MK.csv,True,direct
TXN-003243,MK,2026-03,2026-03-01,WLF-1007,sup-cobalt,tesa,"Random orbital sander 150 mm, 5 mm orbit",werkstatt,132,piece,34.78,4590.96,EUR,4590.96,synthetic-spend-MK.csv,True,direct
TXN-003244,MK,2026-04,2026-04-04,WLF-1007,sup-cobalt,tesa,"Random orbital sander 150 mm, 5 mm orbit",werkstatt,271,piece,34.78,9425.38,EUR,9425.38,synthetic-spend-MK.csv,True,direct
TXN-003245,MK,2026-05,2026-05-12,WLF-1007,sup-cobalt,tesa,"Random orbital sander 150 mm, 5 mm orbit",werkstatt,313,piece,34.78,10886.14,EUR,10886.14,synthetic-spend-MK.csv,True,direct
TXN-003246,MK,2026-06,2026-06-26,WLF-1007,sup-cobalt,tesa,"Random orbital sander 150 mm, 5 mm orbit",werkstatt,317,piece,34.78,11025.26,EUR,11025.26,synthetic-spend-MK.csv,True,direct
TXN-003247,MK,2026-07,2026-07-27,WLF-1007,sup-cobalt,tesa,"Random orbital sander 150 mm, 5 mm orbit",werkstatt,52,piece,34.78,1808.56,EUR,1808.56,synthetic-spend-MK.csv,True,direct
TXN-003248,MK,2026-08,2026-08-07,WLF-1007,sup-cobalt,tesa,"Random orbital sander 150 mm, 5 mm orbit",werkstatt,64,piece,34.78,2225.92,EUR,2225.92,synthetic-spend-MK.csv,True,direct
