id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-004033,MY,2026-01,2026-01-11,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,219,piece,35.83,7846.77,EUR,7846.77,synthetic-spend-MY.csv,True,indirect
TXN-004034,MY,2026-02,2026-02-27,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,107,piece,35.83,3833.81,EUR,3833.81,synthetic-spend-MY.csv,True,indirect
TXN-004035,MY,2026-03,2026-03-02,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,222,piece,35.83,7954.26,EUR,7954.26,synthetic-spend-MY.csv,True,indirect
TXN-004036,MY,2026-04,2026-04-23,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,69,piece,35.83,2472.27,EUR,2472.27,synthetic-spend-MY.csv,True,indirect
TXN-004037,MY,2026-05,2026-05-27,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,266,piece,35.83,9530.78,EUR,9530.78,synthetic-spend-MY.csv,True,indirect
TXN-004038,MY,2026-06,2026-06-04,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,270,piece,35.83,9674.1,EUR,9674.1,synthetic-spend-MY.csv,True,indirect
TXN-004039,MY,2026-07,2026-07-16,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,211,piece,35.83,7560.13,EUR,7560.13,synthetic-spend-MY.csv,True,indirect
TXN-004040,MY,2026-08,2026-08-04,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,252,piece,35.83,9029.16,EUR,9029.16,synthetic-spend-MY.csv,True,indirect
TXN-004041,MY,2026-01,2026-01-19,WLF-1002,sup-cobalt,tesa,"Sanding discs 150 mm, coarse",schleif,310,piece,104.46,32382.6,EUR,32382.6,synthetic-spend-MY.csv,True,direct
TXN-004042,MY,2026-02,2026-02-11,WLF-1002,sup-cobalt,tesa,"Sanding discs 150 mm, coarse",schleif,312,piece,104.46,32591.52,EUR,32591.52,synthetic-spend-MY.csv,True,direct
TXN-004043,MY,2026-03,2026-03-03,WLF-1002,sup-cobalt,tesa,"Sanding discs 150 mm, coarse",schleif,171,piece,104.46,17862.66,EUR,17862.66,synthetic-spend-MY.csv,True,direct
TXN-004044,MY,2026-04,2026-04-05,WLF-1002,sup-cobalt,tesa,"Sanding discs 150 mm, coarse",schleif,223,piece,104.46,23294.58,EUR,23294.58,synthetic-spend-MY.csv,True,direct
TXN-004045,MY,2026-05,2026-05-17,WLF-1002,sup-cobalt,tesa,"Sanding discs 150 mm, coarse",schleif,272,piece,104.46,28413.12,EUR,28413.12,synthetic-spend-MY.csv,True,direct
TXN-004046,MY,2026-06,2026-06-25,WLF-1002,sup-cobalt,tesa,"Sanding discs 150 mm, coarse",schleif,309,piece,104.46,32278.14,EUR,32278.14,synthetic-spend-MY.csv,True,direct
TXN-004047,MY,2026-07,2026-07-11,WLF-1002,sup-cobalt,tesa,"Sanding discs 150 mm, coarse",schleif,317,piece,104.46,33113.82,EUR,33113.82,synthetic-spend-MY.csv,True,direct
TXN-004048,MY,2026-08,2026-08-24,WLF-1002,sup-cobalt,tesa,"Sanding discs 150 mm, coarse",schleif,153,piece,104.46,15982.38,EUR,15982.38,synthetic-spend-MY.csv,True,direct
TXN-004049,MY,2026-01,2026-01-15,WLF-1003,sup-solis,PPG / Nexa,Standard masking tape,kleb,226,piece,30.76,6951.76,EUR,6951.76,synthetic-spend-MY.csv,True,direct
TXN-004050,MY,2026-02,2026-02-11,WLF-1003,sup-solis,PPG / Nexa,Standard masking tape,kleb,283,piece,30.76,8705.08,EUR,8705.08,synthetic-spend-MY.csv,True,direct
TXN-004051,MY,2026-03,2026-03-04,WLF-1003,sup-solis,PPG / Nexa,Standard masking tape,kleb,248,piece,30.76,7628.48,EUR,7628.48,synthetic-spend-MY.csv,True,direct
TXN-004052,MY,2026-04,2026-04-20,WLF-1003,sup-solis,PPG / Nexa,Standard masking tape,kleb,232,piece,30.76,7136.32,EUR,7136.32,synthetic-spend-MY.csv,True,direct
