id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-002689,RS,2026-01,2026-01-18,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,163,piece,32.09,5230.67,EUR,5230.67,synthetic-spend-RS.csv,True,direct
TXN-002690,RS,2026-02,2026-02-21,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,239,piece,32.09,7669.51,EUR,7669.51,synthetic-spend-RS.csv,True,direct
TXN-002691,RS,2026-03,2026-03-24,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,216,piece,32.09,6931.44,EUR,6931.44,synthetic-spend-RS.csv,True,direct
TXN-002692,RS,2026-04,2026-04-03,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,153,piece,32.09,4909.77,EUR,4909.77,synthetic-spend-RS.csv,True,direct
TXN-002693,RS,2026-05,2026-05-11,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,170,piece,32.09,5455.3,EUR,5455.3,synthetic-spend-RS.csv,True,direct
TXN-002694,RS,2026-06,2026-06-11,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,145,piece,32.09,4653.05,EUR,4653.05,synthetic-spend-RS.csv,True,direct
TXN-002695,RS,2026-07,2026-07-02,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,241,piece,32.09,7733.69,EUR,7733.69,synthetic-spend-RS.csv,True,direct
TXN-002696,RS,2026-08,2026-08-03,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,316,piece,32.09,10140.44,EUR,10140.44,synthetic-spend-RS.csv,True,direct
TXN-002697,RS,2026-01,2026-01-23,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,57,piece,45.9,2616.3,EUR,2616.3,synthetic-spend-RS.csv,True,direct
TXN-002698,RS,2026-02,2026-02-24,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,293,piece,45.9,13448.7,EUR,13448.7,synthetic-spend-RS.csv,True,direct
TXN-002699,RS,2026-03,2026-03-20,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,41,piece,45.9,1881.9,EUR,1881.9,synthetic-spend-RS.csv,True,direct
TXN-002700,RS,2026-04,2026-04-24,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,227,piece,45.9,10419.3,EUR,10419.3,synthetic-spend-RS.csv,True,direct
TXN-002701,RS,2026-05,2026-05-21,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,71,piece,45.9,3258.9,EUR,3258.9,synthetic-spend-RS.csv,True,direct
TXN-002702,RS,2026-06,2026-06-01,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,252,piece,45.9,11566.8,EUR,11566.8,synthetic-spend-RS.csv,True,direct
TXN-002703,RS,2026-07,2026-07-12,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,80,piece,45.9,3672.0,EUR,3672.0,synthetic-spend-RS.csv,True,direct
TXN-002704,RS,2026-08,2026-08-28,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,128,piece,45.9,5875.2,EUR,5875.2,synthetic-spend-RS.csv,True,direct
TXN-002705,RS,2026-01,2026-01-22,WLF-1003,sup-helio,Kovax,Standard masking tape,kleb,270,piece,27.84,7516.8,EUR,7516.8,synthetic-spend-RS.csv,True,indirect
TXN-002706,RS,2026-02,2026-02-05,WLF-1003,sup-helio,Kovax,Standard masking tape,kleb,168,piece,27.84,4677.12,EUR,4677.12,synthetic-spend-RS.csv,True,indirect
TXN-002707,RS,2026-03,2026-03-04,WLF-1003,sup-helio,Kovax,Standard masking tape,kleb,70,piece,27.84,1948.8,EUR,1948.8,synthetic-spend-RS.csv,True,indirect
