id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-000337,SE,2026-01,2026-01-18,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,149,piece,22.52,3355.48,SEK,38252.47,synthetic-spend-SE.csv,True,direct
TXN-000338,SE,2026-02,2026-02-26,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,235,piece,22.52,5292.2,SEK,60331.08,synthetic-spend-SE.csv,True,direct
TXN-000339,SE,2026-03,2026-03-09,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,184,piece,22.52,4143.68,SEK,47237.95,synthetic-spend-SE.csv,True,direct
TXN-000340,SE,2026-04,2026-04-19,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,92,piece,22.52,2071.84,SEK,23618.98,synthetic-spend-SE.csv,True,direct
TXN-000341,SE,2026-05,2026-05-17,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,168,piece,22.52,3783.36,SEK,43130.3,synthetic-spend-SE.csv,True,direct
TXN-000342,SE,2026-06,2026-06-19,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,133,piece,22.52,2995.16,SEK,34144.82,synthetic-spend-SE.csv,True,direct
TXN-000343,SE,2026-07,2026-07-12,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,223,piece,22.52,5021.96,SEK,57250.34,synthetic-spend-SE.csv,True,direct
TXN-000344,SE,2026-08,2026-08-05,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,89,piece,22.52,2004.28,SEK,22848.79,synthetic-spend-SE.csv,True,direct
TXN-000345,SE,2026-01,2026-01-06,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,287,piece,48.07,13796.09,SEK,157275.43,synthetic-spend-SE.csv,True,indirect
TXN-000346,SE,2026-02,2026-02-11,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,167,piece,48.07,8027.69,SEK,91515.67,synthetic-spend-SE.csv,True,indirect
TXN-000347,SE,2026-03,2026-03-24,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,46,piece,48.07,2211.22,SEK,25207.91,synthetic-spend-SE.csv,True,indirect
TXN-000348,SE,2026-04,2026-04-23,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,217,piece,48.07,10431.19,SEK,118915.57,synthetic-spend-SE.csv,True,indirect
TXN-000349,SE,2026-05,2026-05-25,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,150,piece,48.07,7210.5,SEK,82199.7,synthetic-spend-SE.csv,True,indirect
TXN-000350,SE,2026-06,2026-06-01,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,102,piece,48.07,4903.14,SEK,55895.8,synthetic-spend-SE.csv,True,indirect
TXN-000351,SE,2026-07,2026-07-24,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,36,piece,48.07,1730.52,SEK,19727.93,synthetic-spend-SE.csv,True,indirect
TXN-000352,SE,2026-08,2026-08-20,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,173,piece,48.07,8316.11,SEK,94803.65,synthetic-spend-SE.csv,True,indirect
TXN-000353,SE,2026-01,2026-01-01,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,194,piece,15.77,3059.38,SEK,34876.93,synthetic-spend-SE.csv,True,direct
TXN-000354,SE,2026-02,2026-02-27,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,118,piece,15.77,1860.86,SEK,21213.8,synthetic-spend-SE.csv,True,direct
TXN-000355,SE,2026-03,2026-03-21,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,87,piece,15.77,1371.99,SEK,15640.69,synthetic-spend-SE.csv,True,direct
TXN-000356,SE,2026-04,2026-04-22,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,231,piece,15.77,3642.87,SEK,41528.72,synthetic-spend-SE.csv,True,direct
TXN-000357,SE,2026-05,2026-05-18,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,319,piece,15.77,5030.63,SEK,57349.18,synthetic-spend-SE.csv,True,direct
TXN-000358,SE,2026-06,2026-06-27,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,31,piece,15.77,488.87,SEK,5573.12,synthetic-spend-SE.csv,True,direct
TXN-000359,SE,2026-07,2026-07-23,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,265,piece,15.77,4179.05,SEK,47641.17,synthetic-spend-SE.csv,True,direct
TXN-000360,SE,2026-08,2026-08-06,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,144,piece,15.77,2270.88,SEK,25888.03,synthetic-spend-SE.csv,True,direct
TXN-000361,SE,2026-01,2026-01-17,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,69,piece,36.18,2496.42,SEK,28459.19,synthetic-spend-SE.csv,True,direct
TXN-000362,SE,2026-02,2026-02-08,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,310,piece,36.18,11215.8,SEK,127860.12,synthetic-spend-SE.csv,True,direct
TXN-000363,SE,2026-03,2026-03-01,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,300,piece,36.18,10854.0,SEK,123735.6,synthetic-spend-SE.csv,True,direct
TXN-000364,SE,2026-04,2026-04-07,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,100,piece,36.18,3618.0,SEK,41245.2,synthetic-spend-SE.csv,True,direct
TXN-000365,SE,2026-05,2026-05-16,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,195,piece,36.18,7055.1,SEK,80428.14,synthetic-spend-SE.csv,True,direct
TXN-000366,SE,2026-06,2026-06-20,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,292,piece,36.18,10564.56,SEK,120435.98,synthetic-spend-SE.csv,True,direct
TXN-000367,SE,2026-07,2026-07-08,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,113,piece,36.18,4088.34,SEK,46607.08,synthetic-spend-SE.csv,True,direct
TXN-000368,SE,2026-08,2026-08-21,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,112,piece,36.18,4052.16,SEK,46194.62,synthetic-spend-SE.csv,True,direct
TXN-000369,SE,2026-01,2026-01-26,WLF-1005,sup-solis,PPG / Nexa,Solvent-based silicone remover,kabine,218,piece,61.62,13433.16,SEK,153138.02,synthetic-spend-SE.csv,True,indirect
TXN-000370,SE,2026-02,2026-02-16,WLF-1005,sup-solis,PPG / Nexa,Solvent-based silicone remover,kabine,49,piece,61.62,3019.38,SEK,34420.93,synthetic-spend-SE.csv,True,indirect
TXN-000371,SE,2026-03,2026-03-17,WLF-1005,sup-solis,PPG / Nexa,Solvent-based silicone remover,kabine,156,piece,61.62,9612.72,SEK,109585.01,synthetic-spend-SE.csv,True,indirect
TXN-000372,SE,2026-04,2026-04-08,WLF-1005,sup-solis,PPG / Nexa,Solvent-based silicone remover,kabine,217,piece,61.62,13371.54,SEK,152435.56,synthetic-spend-SE.csv,True,indirect
TXN-000373,SE,2026-05,2026-05-03,WLF-1005,sup-solis,PPG / Nexa,Solvent-based silicone remover,kabine,94,piece,61.62,5792.28,SEK,66031.99,synthetic-spend-SE.csv,True,indirect
TXN-000374,SE,2026-06,2026-06-27,WLF-1005,sup-solis,PPG / Nexa,Solvent-based silicone remover,kabine,76,piece,61.62,4683.12,SEK,53387.57,synthetic-spend-SE.csv,True,indirect
TXN-000375,SE,2026-07,2026-07-09,WLF-1005,sup-solis,PPG / Nexa,Solvent-based silicone remover,kabine,168,piece,61.62,10352.16,SEK,118014.62,synthetic-spend-SE.csv,True,indirect
