id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-004201,SG,2026-01,2026-01-28,WLF-1001,sup-cobalt,tesa,Graduated mixing cup,lack,146,piece,31.91,4658.86,EUR,4658.86,synthetic-spend-SG.csv,True,direct
TXN-004202,SG,2026-02,2026-02-28,WLF-1001,sup-cobalt,tesa,Graduated mixing cup,lack,34,piece,31.91,1084.94,EUR,1084.94,synthetic-spend-SG.csv,True,direct
TXN-004203,SG,2026-03,2026-03-06,WLF-1001,sup-cobalt,tesa,Graduated mixing cup,lack,77,piece,31.91,2457.07,EUR,2457.07,synthetic-spend-SG.csv,True,direct
TXN-004204,SG,2026-04,2026-04-23,WLF-1001,sup-cobalt,tesa,Graduated mixing cup,lack,238,piece,31.91,7594.58,EUR,7594.58,synthetic-spend-SG.csv,True,direct
TXN-004205,SG,2026-05,2026-05-17,WLF-1001,sup-cobalt,tesa,Graduated mixing cup,lack,34,piece,31.91,1084.94,EUR,1084.94,synthetic-spend-SG.csv,True,direct
TXN-004206,SG,2026-06,2026-06-23,WLF-1001,sup-cobalt,tesa,Graduated mixing cup,lack,139,piece,31.91,4435.49,EUR,4435.49,synthetic-spend-SG.csv,True,direct
TXN-004207,SG,2026-07,2026-07-02,WLF-1001,sup-cobalt,tesa,Graduated mixing cup,lack,178,piece,31.91,5679.98,EUR,5679.98,synthetic-spend-SG.csv,True,direct
TXN-004208,SG,2026-08,2026-08-05,WLF-1001,sup-cobalt,tesa,Graduated mixing cup,lack,87,piece,31.91,2776.17,EUR,2776.17,synthetic-spend-SG.csv,True,direct
TXN-004209,SG,2026-01,2026-01-15,WLF-1002,sup-solis,PPG / Nexa,"Sanding discs 150 mm, coarse",schleif,69,piece,66.41,4582.29,EUR,4582.29,synthetic-spend-SG.csv,True,direct
TXN-004210,SG,2026-02,2026-02-22,WLF-1002,sup-solis,PPG / Nexa,"Sanding discs 150 mm, coarse",schleif,161,piece,66.41,10692.01,EUR,10692.01,synthetic-spend-SG.csv,True,direct
TXN-004211,SG,2026-03,2026-03-25,WLF-1002,sup-solis,PPG / Nexa,"Sanding discs 150 mm, coarse",schleif,105,piece,66.41,6973.05,EUR,6973.05,synthetic-spend-SG.csv,True,direct
TXN-004212,SG,2026-04,2026-04-27,WLF-1002,sup-solis,PPG / Nexa,"Sanding discs 150 mm, coarse",schleif,237,piece,66.41,15739.17,EUR,15739.17,synthetic-spend-SG.csv,True,direct
TXN-004213,SG,2026-05,2026-05-21,WLF-1002,sup-solis,PPG / Nexa,"Sanding discs 150 mm, coarse",schleif,198,piece,66.41,13149.18,EUR,13149.18,synthetic-spend-SG.csv,True,direct
TXN-004214,SG,2026-06,2026-06-23,WLF-1002,sup-solis,PPG / Nexa,"Sanding discs 150 mm, coarse",schleif,266,piece,66.41,17665.06,EUR,17665.06,synthetic-spend-SG.csv,True,direct
TXN-004215,SG,2026-07,2026-07-16,WLF-1002,sup-solis,PPG / Nexa,"Sanding discs 150 mm, coarse",schleif,236,piece,66.41,15672.76,EUR,15672.76,synthetic-spend-SG.csv,True,direct
TXN-004216,SG,2026-08,2026-08-22,WLF-1002,sup-solis,PPG / Nexa,"Sanding discs 150 mm, coarse",schleif,72,piece,66.41,4781.52,EUR,4781.52,synthetic-spend-SG.csv,True,direct
TXN-004217,SG,2026-01,2026-01-01,WLF-1003,sup-orbit,Würth,Standard masking tape,kleb,118,piece,25.97,3064.46,EUR,3064.46,synthetic-spend-SG.csv,True,indirect
TXN-004218,SG,2026-02,2026-02-26,WLF-1003,sup-orbit,Würth,Standard masking tape,kleb,194,piece,25.97,5038.18,EUR,5038.18,synthetic-spend-SG.csv,True,indirect
TXN-004219,SG,2026-03,2026-03-10,WLF-1003,sup-orbit,Würth,Standard masking tape,kleb,66,piece,25.97,1714.02,EUR,1714.02,synthetic-spend-SG.csv,True,indirect
TXN-004220,SG,2026-04,2026-04-13,WLF-1003,sup-orbit,Würth,Standard masking tape,kleb,249,piece,25.97,6466.53,EUR,6466.53,synthetic-spend-SG.csv,True,indirect
TXN-004221,SG,2026-05,2026-05-27,WLF-1003,sup-orbit,Würth,Standard masking tape,kleb,296,piece,25.97,7687.12,EUR,7687.12,synthetic-spend-SG.csv,True,indirect
TXN-004222,SG,2026-06,2026-06-18,WLF-1003,sup-orbit,Würth,Standard masking tape,kleb,205,piece,25.97,5323.85,EUR,5323.85,synthetic-spend-SG.csv,True,indirect
TXN-004223,SG,2026-07,2026-07-18,WLF-1003,sup-orbit,Würth,Standard masking tape,kleb,325,piece,25.97,8440.25,EUR,8440.25,synthetic-spend-SG.csv,True,indirect
TXN-004224,SG,2026-08,2026-08-10,WLF-1003,sup-orbit,Würth,Standard masking tape,kleb,241,piece,25.97,6258.77,EUR,6258.77,synthetic-spend-SG.csv,True,indirect
TXN-004225,SG,2026-01,2026-01-06,WLF-1004,sup-helio,Kovax,Cutting compound (coarse/medium),polier,142,piece,40.26,5716.92,EUR,5716.92,synthetic-spend-SG.csv,True,direct
TXN-004226,SG,2026-02,2026-02-17,WLF-1004,sup-helio,Kovax,Cutting compound (coarse/medium),polier,144,piece,40.26,5797.44,EUR,5797.44,synthetic-spend-SG.csv,True,direct
TXN-004227,SG,2026-03,2026-03-25,WLF-1004,sup-helio,Kovax,Cutting compound (coarse/medium),polier,327,piece,40.26,13165.02,EUR,13165.02,synthetic-spend-SG.csv,True,direct
TXN-004228,SG,2026-04,2026-04-18,WLF-1004,sup-helio,Kovax,Cutting compound (coarse/medium),polier,231,piece,40.26,9300.06,EUR,9300.06,synthetic-spend-SG.csv,True,direct
