id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-002017,SI,2026-01,2026-01-19,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,85,piece,19.33,1643.05,EUR,1643.05,synthetic-spend-SI.csv,True,indirect
TXN-002018,SI,2026-02,2026-02-19,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,273,piece,19.33,5277.09,EUR,5277.09,synthetic-spend-SI.csv,True,indirect
TXN-002019,SI,2026-03,2026-03-24,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,106,piece,19.33,2048.98,EUR,2048.98,synthetic-spend-SI.csv,True,indirect
TXN-002020,SI,2026-04,2026-04-17,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,154,piece,19.33,2976.82,EUR,2976.82,synthetic-spend-SI.csv,True,indirect
TXN-002021,SI,2026-05,2026-05-25,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,185,piece,19.33,3576.05,EUR,3576.05,synthetic-spend-SI.csv,True,indirect
TXN-002022,SI,2026-06,2026-06-15,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,316,piece,19.33,6108.28,EUR,6108.28,synthetic-spend-SI.csv,True,indirect
TXN-002023,SI,2026-07,2026-07-04,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,106,piece,19.33,2048.98,EUR,2048.98,synthetic-spend-SI.csv,True,indirect
TXN-002024,SI,2026-08,2026-08-19,WLF-1001,sup-lumen,Finixa,Graduated mixing cup,lack,267,piece,19.33,5161.11,EUR,5161.11,synthetic-spend-SI.csv,True,indirect
TXN-002025,SI,2026-01,2026-01-24,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,88,piece,115.45,10159.6,EUR,10159.6,synthetic-spend-SI.csv,True,direct
TXN-002026,SI,2026-02,2026-02-15,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,129,piece,115.45,14893.05,EUR,14893.05,synthetic-spend-SI.csv,True,direct
TXN-002027,SI,2026-03,2026-03-02,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,141,piece,115.45,16278.45,EUR,16278.45,synthetic-spend-SI.csv,True,direct
TXN-002028,SI,2026-04,2026-04-05,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,206,piece,115.45,23782.7,EUR,23782.7,synthetic-spend-SI.csv,True,direct
TXN-002029,SI,2026-05,2026-05-06,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,115,piece,115.45,13276.75,EUR,13276.75,synthetic-spend-SI.csv,True,direct
TXN-002030,SI,2026-06,2026-06-02,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,283,piece,115.45,32672.35,EUR,32672.35,synthetic-spend-SI.csv,True,direct
TXN-002031,SI,2026-07,2026-07-16,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,57,piece,115.45,6580.65,EUR,6580.65,synthetic-spend-SI.csv,True,direct
TXN-002032,SI,2026-08,2026-08-22,WLF-1002,sup-novex,Mirka,"Sanding discs 150 mm, coarse",schleif,316,piece,115.45,36482.2,EUR,36482.2,synthetic-spend-SI.csv,True,direct
TXN-002033,SI,2026-01,2026-01-01,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,68,piece,20.91,1421.88,EUR,1421.88,synthetic-spend-SI.csv,True,direct
TXN-002034,SI,2026-02,2026-02-15,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,198,piece,20.91,4140.18,EUR,4140.18,synthetic-spend-SI.csv,True,direct
TXN-002035,SI,2026-03,2026-03-23,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,214,piece,20.91,4474.74,EUR,4474.74,synthetic-spend-SI.csv,True,direct
TXN-002036,SI,2026-04,2026-04-09,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,160,piece,20.91,3345.6,EUR,3345.6,synthetic-spend-SI.csv,True,direct
TXN-002037,SI,2026-05,2026-05-11,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,255,piece,20.91,5332.05,EUR,5332.05,synthetic-spend-SI.csv,True,direct
TXN-002038,SI,2026-06,2026-06-27,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,184,piece,20.91,3847.44,EUR,3847.44,synthetic-spend-SI.csv,True,direct
TXN-002039,SI,2026-07,2026-07-02,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,217,piece,20.91,4537.47,EUR,4537.47,synthetic-spend-SI.csv,True,direct
TXN-002040,SI,2026-08,2026-08-14,WLF-1003,sup-arcus,SATA,Standard masking tape,kleb,190,piece,20.91,3972.9,EUR,3972.9,synthetic-spend-SI.csv,True,direct
TXN-002041,SI,2026-01,2026-01-02,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,243,piece,39.05,9489.15,EUR,9489.15,synthetic-spend-SI.csv,True,indirect
TXN-002042,SI,2026-02,2026-02-13,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,223,piece,39.05,8708.15,EUR,8708.15,synthetic-spend-SI.csv,True,indirect
TXN-002043,SI,2026-03,2026-03-18,WLF-1004,sup-cobalt,tesa,Cutting compound (coarse/medium),polier,240,piece,39.05,9372.0,EUR,9372.0,synthetic-spend-SI.csv,True,indirect
