Site code,SITE,Invoice date,Invoice total,Currency,Invoice,Article,Description,Invoiced quantity,Quantity unit,Net value,Currency,Item,Invoice,Item,Product group code,Item type code,SA code,Sales document,Document date,Invoice type code,Ordering party,Payer,Created by,Commercial document type code,Billing category code,Commercial document type,Invoice category,Invoice type,Region,District,Purchase order no.,Order date,Payer
SITE-001,Wolf Atelier France 1,46270,953.04,EUR,FAC-WOLF-0001,WLF-1008,Paint cup for compressed-air spray gun,-226,PC,-11336.16,EUR,10,FAC-WOLF-0001,1,DEMO,NORM,LAB,VENTE-0001,46268,CREDIT_NOTE,Wolf Automotive,Wolf France,Demo Agent,M,L,Invoice cancellation,Synthetic delivery,Credit note,FR-LAB,DIST-LAB,ACHAT-0001,46265,WOLF-PAYEUR-001
SITE-001,Wolf Atelier France 1,46270,953.04,EUR,FAC-WOLF-0001,WLF-1008,Paint cup for compressed-air spray gun,174,PC,8727.84,EUR,20,FAC-WOLF-0001,2,DEMO,NORM,LAB,VENTE-0001,46268,INVOICE,Wolf Automotive,Wolf France,Demo Agent,M,L,Invoice,Synthetic delivery,Standard invoice,FR-LAB,DIST-LAB,ACHAT-0001,46265,WOLF-PAYEUR-001
SITE-001,Wolf Atelier France 1,46270,953.04,EUR,FAC-WOLF-0001,WLF-1008,Paint cup for compressed-air spray gun,71,PC,3561.36,EUR,30,FAC-WOLF-0001,3,DEMO,NORM,LAB,VENTE-0001,46268,INVOICE,Wolf Automotive,Wolf France,Demo Agent,M,L,Invoice,Synthetic delivery,Standard invoice,FR-LAB,DIST-LAB,ACHAT-0001,46265,WOLF-PAYEUR-001
SITE-002,Wolf Atelier France 2,46271,33557.04,EUR,FAC-WOLF-0002,WLF-1008,Paint cup for compressed-air spray gun,176,PC,8828.16,EUR,10,FAC-WOLF-0002,4,DEMO,NORM,LAB,VENTE-0002,46269,INVOICE,Wolf Automotive,Wolf France,Demo Agent,M,L,Invoice,Synthetic delivery,Standard invoice,FR-LAB,DIST-LAB,ACHAT-0002,46266,WOLF-PAYEUR-001
SITE-002,Wolf Atelier France 2,46271,33557.04,EUR,FAC-WOLF-0002,WLF-1008,Paint cup for compressed-air spray gun,181,PC,9078.96,EUR,20,FAC-WOLF-0002,5,DEMO,NORM,LAB,VENTE-0002,46269,INVOICE,Wolf Automotive,Wolf France,Demo Agent,M,L,Invoice,Synthetic delivery,Standard invoice,FR-LAB,DIST-LAB,ACHAT-0002,46266,WOLF-PAYEUR-001
SITE-002,Wolf Atelier France 2,46271,33557.04,EUR,FAC-WOLF-0002,WLF-1008,Paint cup for compressed-air spray gun,312,PC,15649.92,EUR,30,FAC-WOLF-0002,6,DEMO,NORM,LAB,VENTE-0002,46269,INVOICE,Wolf Automotive,Wolf France,Demo Agent,M,L,Invoice,Synthetic delivery,Standard invoice,FR-LAB,DIST-LAB,ACHAT-0002,46266,WOLF-PAYEUR-001
SITE-003,Wolf Atelier France 3,46272,13744.5,EUR,FAC-WOLF-0003,WLF-1008,Paint cup for compressed-air spray gun,122,PC,6119.52,EUR,10,FAC-WOLF-0003,7,DEMO,NORM,LAB,VENTE-0003,46270,INVOICE,Wolf Automotive,Wolf France,Demo Agent,M,L,Invoice,Synthetic delivery,Standard invoice,FR-LAB,DIST-LAB,ACHAT-0003,46267,WOLF-PAYEUR-001
SITE-003,Wolf Atelier France 3,46272,13744.5,EUR,FAC-WOLF-0003,WLF-1008,Paint cup for compressed-air spray gun,122,PC,6119.52,EUR,20,FAC-WOLF-0003,8,DEMO,NORM,LAB,VENTE-0003,46270,INVOICE,Wolf Automotive,Wolf France,Demo Agent,M,L,Invoice,Synthetic delivery,Standard invoice,FR-LAB,DIST-LAB,ACHAT-0003,46267,WOLF-PAYEUR-001
SITE-003,Wolf Atelier France 3,46272,13744.5,EUR,FAC-WOLF-0003,WLF-1018,One-step cutting and polishing compound,33,PC,1505.46,EUR,30,FAC-WOLF-0003,9,DEMO,NORM,LAB,VENTE-0003,46270,INVOICE,Wolf Automotive,Wolf France,Demo Agent,M,L,Invoice,Synthetic delivery,Standard invoice,FR-LAB,DIST-LAB,ACHAT-0003,46267,WOLF-PAYEUR-001
SITE-004,Wolf Atelier France 4,46273,5474.4,EUR,FAC-WOLF-0004,WLF-1018,One-step cutting and polishing compound,293,PC,13366.66,EUR,10,FAC-WOLF-0004,10,DEMO,NORM,LAB,VENTE-0004,46271,INVOICE,Wolf Automotive,Wolf France,Demo Agent,M,L,Invoice,Synthetic delivery,Standard invoice,FR-LAB,DIST-LAB,ACHAT-0004,46268,WOLF-PAYEUR-001
