id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-004537,CO,2026-01,2026-01-05,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,73,piece,21.15,1543.95,EUR,1543.95,synthetic-spend-CO.csv,True,indirect
TXN-004538,CO,2026-02,2026-02-18,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,144,piece,21.15,3045.6,EUR,3045.6,synthetic-spend-CO.csv,True,indirect
TXN-004539,CO,2026-03,2026-03-09,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,51,piece,21.15,1078.65,EUR,1078.65,synthetic-spend-CO.csv,True,indirect
TXN-004540,CO,2026-04,2026-04-24,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,199,piece,21.15,4208.85,EUR,4208.85,synthetic-spend-CO.csv,True,indirect
TXN-004541,CO,2026-05,2026-05-23,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,54,piece,21.15,1142.1,EUR,1142.1,synthetic-spend-CO.csv,True,indirect
TXN-004542,CO,2026-06,2026-06-08,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,139,piece,21.15,2939.85,EUR,2939.85,synthetic-spend-CO.csv,True,indirect
TXN-004543,CO,2026-07,2026-07-08,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,268,piece,21.15,5668.2,EUR,5668.2,synthetic-spend-CO.csv,True,indirect
TXN-004544,CO,2026-08,2026-08-23,WLF-1001,sup-orbit,Würth,Graduated mixing cup,lack,125,piece,21.15,2643.75,EUR,2643.75,synthetic-spend-CO.csv,True,indirect
TXN-004545,CO,2026-01,2026-01-08,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,121,piece,51.44,6224.24,EUR,6224.24,synthetic-spend-CO.csv,True,direct
TXN-004546,CO,2026-02,2026-02-15,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,44,piece,51.44,2263.36,EUR,2263.36,synthetic-spend-CO.csv,True,direct
TXN-004547,CO,2026-03,2026-03-26,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,89,piece,51.44,4578.16,EUR,4578.16,synthetic-spend-CO.csv,True,direct
TXN-004548,CO,2026-04,2026-04-28,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,92,piece,51.44,4732.48,EUR,4732.48,synthetic-spend-CO.csv,True,direct
TXN-004549,CO,2026-05,2026-05-15,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,82,piece,51.44,4218.08,EUR,4218.08,synthetic-spend-CO.csv,True,direct
TXN-004550,CO,2026-06,2026-06-14,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,129,piece,51.44,6635.76,EUR,6635.76,synthetic-spend-CO.csv,True,direct
TXN-004551,CO,2026-07,2026-07-18,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,317,piece,51.44,16306.48,EUR,16306.48,synthetic-spend-CO.csv,True,direct
TXN-004552,CO,2026-08,2026-08-03,WLF-1002,sup-helio,Kovax,"Sanding discs 150 mm, coarse",schleif,172,piece,51.44,8847.68,EUR,8847.68,synthetic-spend-CO.csv,True,direct
TXN-004553,CO,2026-01,2026-01-27,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,241,piece,21.42,5162.22,EUR,5162.22,synthetic-spend-CO.csv,True,direct
TXN-004554,CO,2026-02,2026-02-21,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,123,piece,21.42,2634.66,EUR,2634.66,synthetic-spend-CO.csv,True,direct
TXN-004555,CO,2026-03,2026-03-17,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,157,piece,21.42,3362.94,EUR,3362.94,synthetic-spend-CO.csv,True,direct
TXN-004556,CO,2026-04,2026-04-05,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,87,piece,21.42,1863.54,EUR,1863.54,synthetic-spend-CO.csv,True,direct
TXN-004557,CO,2026-05,2026-05-15,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,274,piece,21.42,5869.08,EUR,5869.08,synthetic-spend-CO.csv,True,direct
TXN-004558,CO,2026-06,2026-06-03,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,322,piece,21.42,6897.24,EUR,6897.24,synthetic-spend-CO.csv,True,direct
TXN-004559,CO,2026-07,2026-07-13,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,189,piece,21.42,4048.38,EUR,4048.38,synthetic-spend-CO.csv,True,direct
TXN-004560,CO,2026-08,2026-08-23,WLF-1003,sup-vanta,Starcke,Standard masking tape,kleb,307,piece,21.42,6575.94,EUR,6575.94,synthetic-spend-CO.csv,True,direct
TXN-004561,CO,2026-01,2026-01-17,WLF-1004,sup-aster,3M,Cutting compound (coarse/medium),polier,45,piece,31.92,1436.4,EUR,1436.4,synthetic-spend-CO.csv,True,indirect
TXN-004562,CO,2026-02,2026-02-27,WLF-1004,sup-aster,3M,Cutting compound (coarse/medium),polier,108,piece,31.92,3447.36,EUR,3447.36,synthetic-spend-CO.csv,True,indirect
TXN-004563,CO,2026-03,2026-03-28,WLF-1004,sup-aster,3M,Cutting compound (coarse/medium),polier,124,piece,31.92,3958.08,EUR,3958.08,synthetic-spend-CO.csv,True,indirect
TXN-004564,CO,2026-04,2026-04-28,WLF-1004,sup-aster,3M,Cutting compound (coarse/medium),polier,136,piece,31.92,4341.12,EUR,4341.12,synthetic-spend-CO.csv,True,indirect
TXN-004565,CO,2026-05,2026-05-09,WLF-1004,sup-aster,3M,Cutting compound (coarse/medium),polier,184,piece,31.92,5873.28,EUR,5873.28,synthetic-spend-CO.csv,True,indirect
TXN-004566,CO,2026-06,2026-06-02,WLF-1004,sup-aster,3M,Cutting compound (coarse/medium),polier,126,piece,31.92,4021.92,EUR,4021.92,synthetic-spend-CO.csv,True,indirect
TXN-004567,CO,2026-07,2026-07-01,WLF-1004,sup-aster,3M,Cutting compound (coarse/medium),polier,197,piece,31.92,6288.24,EUR,6288.24,synthetic-spend-CO.csv,True,indirect
TXN-004568,CO,2026-08,2026-08-10,WLF-1004,sup-aster,3M,Cutting compound (coarse/medium),polier,91,piece,31.92,2904.72,EUR,2904.72,synthetic-spend-CO.csv,True,indirect
TXN-004569,CO,2026-01,2026-01-23,WLF-1005,sup-velora,Glasurit (BASF),Solvent-based silicone remover,kabine,163,piece,55.88,9108.44,EUR,9108.44,synthetic-spend-CO.csv,True,direct
