id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-000841,ES,2026-01,2026-01-12,WLF-1001,sup-cobalt,tesa,Graduated mixing cup,lack,228,piece,37.26,8495.28,EUR,8495.28,synthetic-spend-ES.csv,True,direct
TXN-000842,ES,2026-02,2026-02-26,WLF-1001,sup-cobalt,tesa,Graduated mixing cup,lack,148,piece,37.26,5514.48,EUR,5514.48,synthetic-spend-ES.csv,True,direct
TXN-000843,ES,2026-03,2026-03-23,WLF-1001,sup-cobalt,tesa,Graduated mixing cup,lack,142,piece,37.26,5290.92,EUR,5290.92,synthetic-spend-ES.csv,True,direct
TXN-000844,ES,2026-04,2026-04-13,WLF-1001,sup-cobalt,tesa,Graduated mixing cup,lack,140,piece,37.26,5216.4,EUR,5216.4,synthetic-spend-ES.csv,True,direct
TXN-000845,ES,2026-05,2026-05-13,WLF-1001,sup-cobalt,tesa,Graduated mixing cup,lack,62,piece,37.26,2310.12,EUR,2310.12,synthetic-spend-ES.csv,True,direct
TXN-000846,ES,2026-06,2026-06-01,WLF-1001,sup-cobalt,tesa,Graduated mixing cup,lack,194,piece,37.26,7228.44,EUR,7228.44,synthetic-spend-ES.csv,True,direct
TXN-000847,ES,2026-07,2026-07-17,WLF-1001,sup-cobalt,tesa,Graduated mixing cup,lack,246,piece,37.26,9165.96,EUR,9165.96,synthetic-spend-ES.csv,True,direct
TXN-000848,ES,2026-08,2026-08-14,WLF-1001,sup-cobalt,tesa,Graduated mixing cup,lack,191,piece,37.26,7116.66,EUR,7116.66,synthetic-spend-ES.csv,True,direct
TXN-000849,ES,2026-01,2026-01-21,WLF-1002,sup-solis,PPG / Nexa,"Sanding discs 150 mm, coarse",schleif,222,piece,74.66,16574.52,EUR,16574.52,synthetic-spend-ES.csv,True,indirect
TXN-000850,ES,2026-02,2026-02-05,WLF-1002,sup-solis,PPG / Nexa,"Sanding discs 150 mm, coarse",schleif,142,piece,74.66,10601.72,EUR,10601.72,synthetic-spend-ES.csv,True,indirect
TXN-000851,ES,2026-03,2026-03-27,WLF-1002,sup-solis,PPG / Nexa,"Sanding discs 150 mm, coarse",schleif,38,piece,74.66,2837.08,EUR,2837.08,synthetic-spend-ES.csv,True,indirect
TXN-000852,ES,2026-04,2026-04-16,WLF-1002,sup-solis,PPG / Nexa,"Sanding discs 150 mm, coarse",schleif,53,piece,74.66,3956.98,EUR,3956.98,synthetic-spend-ES.csv,True,indirect
TXN-000853,ES,2026-05,2026-05-17,WLF-1002,sup-solis,PPG / Nexa,"Sanding discs 150 mm, coarse",schleif,76,piece,74.66,5674.16,EUR,5674.16,synthetic-spend-ES.csv,True,indirect
TXN-000854,ES,2026-06,2026-06-03,WLF-1002,sup-solis,PPG / Nexa,"Sanding discs 150 mm, coarse",schleif,79,piece,74.66,5898.14,EUR,5898.14,synthetic-spend-ES.csv,True,indirect
TXN-000855,ES,2026-07,2026-07-05,WLF-1002,sup-solis,PPG / Nexa,"Sanding discs 150 mm, coarse",schleif,105,piece,74.66,7839.3,EUR,7839.3,synthetic-spend-ES.csv,True,indirect
TXN-000856,ES,2026-08,2026-08-19,WLF-1002,sup-solis,PPG / Nexa,"Sanding discs 150 mm, coarse",schleif,97,piece,74.66,7242.02,EUR,7242.02,synthetic-spend-ES.csv,True,indirect
TXN-000857,ES,2026-01,2026-01-03,WLF-1003,sup-orbit,Würth,Standard masking tape,kleb,82,piece,22.37,1834.34,EUR,1834.34,synthetic-spend-ES.csv,True,direct
TXN-000858,ES,2026-02,2026-02-02,WLF-1003,sup-orbit,Würth,Standard masking tape,kleb,221,piece,22.37,4943.77,EUR,4943.77,synthetic-spend-ES.csv,True,direct
TXN-000859,ES,2026-03,2026-03-01,WLF-1003,sup-orbit,Würth,Standard masking tape,kleb,105,piece,22.37,2348.85,EUR,2348.85,synthetic-spend-ES.csv,True,direct
TXN-000860,ES,2026-04,2026-04-28,WLF-1003,sup-orbit,Würth,Standard masking tape,kleb,43,piece,22.37,961.91,EUR,961.91,synthetic-spend-ES.csv,True,direct
TXN-000861,ES,2026-05,2026-05-26,WLF-1003,sup-orbit,Würth,Standard masking tape,kleb,48,piece,22.37,1073.76,EUR,1073.76,synthetic-spend-ES.csv,True,direct
TXN-000862,ES,2026-06,2026-06-18,WLF-1003,sup-orbit,Würth,Standard masking tape,kleb,286,piece,22.37,6397.82,EUR,6397.82,synthetic-spend-ES.csv,True,direct
TXN-000863,ES,2026-07,2026-07-02,WLF-1003,sup-orbit,Würth,Standard masking tape,kleb,91,piece,22.37,2035.67,EUR,2035.67,synthetic-spend-ES.csv,True,direct
TXN-000864,ES,2026-08,2026-08-22,WLF-1003,sup-orbit,Würth,Standard masking tape,kleb,104,piece,22.37,2326.48,EUR,2326.48,synthetic-spend-ES.csv,True,direct
TXN-000865,ES,2026-01,2026-01-02,WLF-1004,sup-helio,Kovax,Cutting compound (coarse/medium),polier,255,piece,33.98,8664.9,EUR,8664.9,synthetic-spend-ES.csv,True,direct
TXN-000866,ES,2026-02,2026-02-04,WLF-1004,sup-helio,Kovax,Cutting compound (coarse/medium),polier,56,piece,33.98,1902.88,EUR,1902.88,synthetic-spend-ES.csv,True,direct
TXN-000867,ES,2026-03,2026-03-23,WLF-1004,sup-helio,Kovax,Cutting compound (coarse/medium),polier,120,piece,33.98,4077.6,EUR,4077.6,synthetic-spend-ES.csv,True,direct
TXN-000868,ES,2026-04,2026-04-13,WLF-1004,sup-helio,Kovax,Cutting compound (coarse/medium),polier,43,piece,33.98,1461.14,EUR,1461.14,synthetic-spend-ES.csv,True,direct
