id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-001849,HU,2026-01,2026-01-20,WLF-1001,sup-velora,Glasurit (BASF),Graduated mixing cup,lack,214,piece,32.77,7012.78,HUF,2763035.32,synthetic-spend-HU.csv,True,direct
TXN-001850,HU,2026-02,2026-02-27,WLF-1001,sup-velora,Glasurit (BASF),Graduated mixing cup,lack,48,piece,32.77,1572.96,HUF,619746.24,synthetic-spend-HU.csv,True,direct
TXN-001851,HU,2026-03,2026-03-19,WLF-1001,sup-velora,Glasurit (BASF),Graduated mixing cup,lack,244,piece,32.77,7995.88,HUF,3150376.72,synthetic-spend-HU.csv,True,direct
TXN-001852,HU,2026-04,2026-04-23,WLF-1001,sup-velora,Glasurit (BASF),Graduated mixing cup,lack,209,piece,32.77,6848.93,HUF,2698478.42,synthetic-spend-HU.csv,True,direct
TXN-001853,HU,2026-05,2026-05-24,WLF-1001,sup-velora,Glasurit (BASF),Graduated mixing cup,lack,222,piece,32.77,7274.94,HUF,2866326.36,synthetic-spend-HU.csv,True,direct
TXN-001854,HU,2026-06,2026-06-01,WLF-1001,sup-velora,Glasurit (BASF),Graduated mixing cup,lack,310,piece,32.77,10158.7,HUF,4002527.8,synthetic-spend-HU.csv,True,direct
TXN-001855,HU,2026-07,2026-07-12,WLF-1001,sup-velora,Glasurit (BASF),Graduated mixing cup,lack,152,piece,32.77,4981.04,HUF,1962529.76,synthetic-spend-HU.csv,True,direct
TXN-001856,HU,2026-08,2026-08-09,WLF-1001,sup-velora,Glasurit (BASF),Graduated mixing cup,lack,69,piece,32.77,2261.13,HUF,890885.22,synthetic-spend-HU.csv,True,direct
TXN-001857,HU,2026-01,2026-01-16,WLF-1002,sup-lumen,Finixa,"Sanding discs 150 mm, coarse",schleif,239,piece,73.23,17501.97,HUF,6895776.18,synthetic-spend-HU.csv,True,indirect
TXN-001858,HU,2026-02,2026-02-14,WLF-1002,sup-lumen,Finixa,"Sanding discs 150 mm, coarse",schleif,150,piece,73.23,10984.5,HUF,4327893.0,synthetic-spend-HU.csv,True,indirect
TXN-001859,HU,2026-03,2026-03-02,WLF-1002,sup-lumen,Finixa,"Sanding discs 150 mm, coarse",schleif,162,piece,73.23,11863.26,HUF,4674124.44,synthetic-spend-HU.csv,True,indirect
TXN-001860,HU,2026-04,2026-04-02,WLF-1002,sup-lumen,Finixa,"Sanding discs 150 mm, coarse",schleif,242,piece,73.23,17721.66,HUF,6982334.04,synthetic-spend-HU.csv,True,indirect
TXN-001861,HU,2026-05,2026-05-24,WLF-1002,sup-lumen,Finixa,"Sanding discs 150 mm, coarse",schleif,257,piece,73.23,18820.11,HUF,7415123.34,synthetic-spend-HU.csv,True,indirect
TXN-001862,HU,2026-06,2026-06-20,WLF-1002,sup-lumen,Finixa,"Sanding discs 150 mm, coarse",schleif,299,piece,73.23,21895.77,HUF,8626933.38,synthetic-spend-HU.csv,True,indirect
TXN-001863,HU,2026-07,2026-07-28,WLF-1002,sup-lumen,Finixa,"Sanding discs 150 mm, coarse",schleif,169,piece,73.23,12375.87,HUF,4876092.78,synthetic-spend-HU.csv,True,indirect
TXN-001864,HU,2026-08,2026-08-09,WLF-1002,sup-lumen,Finixa,"Sanding discs 150 mm, coarse",schleif,183,piece,73.23,13401.09,HUF,5280029.46,synthetic-spend-HU.csv,True,indirect
TXN-001865,HU,2026-01,2026-01-22,WLF-1003,sup-novex,Mirka,Standard masking tape,kleb,314,piece,14.42,4527.88,HUF,1783984.72,synthetic-spend-HU.csv,True,direct
TXN-001866,HU,2026-02,2026-02-10,WLF-1003,sup-novex,Mirka,Standard masking tape,kleb,79,piece,14.42,1139.18,HUF,448836.92,synthetic-spend-HU.csv,True,direct
TXN-001867,HU,2026-03,2026-03-26,WLF-1003,sup-novex,Mirka,Standard masking tape,kleb,280,piece,14.42,4037.6,HUF,1590814.4,synthetic-spend-HU.csv,True,direct
TXN-001868,HU,2026-04,2026-04-25,WLF-1003,sup-novex,Mirka,Standard masking tape,kleb,44,piece,14.42,634.48,HUF,249985.12,synthetic-spend-HU.csv,True,direct
TXN-001869,HU,2026-05,2026-05-28,WLF-1003,sup-novex,Mirka,Standard masking tape,kleb,77,piece,14.42,1110.34,HUF,437473.96,synthetic-spend-HU.csv,True,direct
TXN-001870,HU,2026-06,2026-06-04,WLF-1003,sup-novex,Mirka,Standard masking tape,kleb,177,piece,14.42,2552.34,HUF,1005621.96,synthetic-spend-HU.csv,True,direct
TXN-001871,HU,2026-07,2026-07-15,WLF-1003,sup-novex,Mirka,Standard masking tape,kleb,140,piece,14.42,2018.8,HUF,795407.2,synthetic-spend-HU.csv,True,direct
TXN-001872,HU,2026-08,2026-08-10,WLF-1003,sup-novex,Mirka,Standard masking tape,kleb,245,piece,14.42,3532.9,HUF,1391962.6,synthetic-spend-HU.csv,True,direct
TXN-001873,HU,2026-01,2026-01-11,WLF-1004,sup-arcus,SATA,Cutting compound (coarse/medium),polier,94,piece,34.99,3289.06,HUF,1295889.64,synthetic-spend-HU.csv,True,direct
TXN-001874,HU,2026-02,2026-02-05,WLF-1004,sup-arcus,SATA,Cutting compound (coarse/medium),polier,112,piece,34.99,3918.88,HUF,1544038.72,synthetic-spend-HU.csv,True,direct
TXN-001875,HU,2026-03,2026-03-21,WLF-1004,sup-arcus,SATA,Cutting compound (coarse/medium),polier,174,piece,34.99,6088.26,HUF,2398774.44,synthetic-spend-HU.csv,True,direct
TXN-001876,HU,2026-04,2026-04-24,WLF-1004,sup-arcus,SATA,Cutting compound (coarse/medium),polier,90,piece,34.99,3149.1,HUF,1240745.4,synthetic-spend-HU.csv,True,direct
TXN-001877,HU,2026-05,2026-05-18,WLF-1004,sup-arcus,SATA,Cutting compound (coarse/medium),polier,204,piece,34.99,7137.96,HUF,2812356.24,synthetic-spend-HU.csv,True,direct
TXN-001878,HU,2026-06,2026-06-15,WLF-1004,sup-arcus,SATA,Cutting compound (coarse/medium),polier,55,piece,34.99,1924.45,HUF,758233.3,synthetic-spend-HU.csv,True,direct
TXN-001879,HU,2026-07,2026-07-18,WLF-1004,sup-arcus,SATA,Cutting compound (coarse/medium),polier,25,piece,34.99,874.75,HUF,344651.5,synthetic-spend-HU.csv,True,direct
TXN-001880,HU,2026-08,2026-08-08,WLF-1004,sup-arcus,SATA,Cutting compound (coarse/medium),polier,220,piece,34.99,7697.8,HUF,3032933.2,synthetic-spend-HU.csv,True,direct
