id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-001345,PL,2026-01,2026-01-02,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,183,piece,27.59,5048.97,PLN,21811.55,synthetic-spend-PL.csv,True,direct
TXN-001346,PL,2026-02,2026-02-22,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,280,piece,27.59,7725.2,PLN,33372.86,synthetic-spend-PL.csv,True,direct
TXN-001347,PL,2026-03,2026-03-16,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,283,piece,27.59,7807.97,PLN,33730.43,synthetic-spend-PL.csv,True,direct
TXN-001348,PL,2026-04,2026-04-07,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,256,piece,27.59,7063.04,PLN,30512.33,synthetic-spend-PL.csv,True,direct
TXN-001349,PL,2026-05,2026-05-05,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,62,piece,27.59,1710.58,PLN,7389.71,synthetic-spend-PL.csv,True,direct
TXN-001350,PL,2026-06,2026-06-18,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,140,piece,27.59,3862.6,PLN,16686.43,synthetic-spend-PL.csv,True,direct
TXN-001351,PL,2026-07,2026-07-26,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,113,piece,27.59,3117.67,PLN,13468.33,synthetic-spend-PL.csv,True,direct
TXN-001352,PL,2026-08,2026-08-13,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,163,piece,27.59,4497.17,PLN,19427.77,synthetic-spend-PL.csv,True,direct
TXN-001353,PL,2026-01,2026-01-06,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,215,piece,106.71,22942.65,PLN,99112.25,synthetic-spend-PL.csv,True,indirect
TXN-001354,PL,2026-02,2026-02-05,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,222,piece,106.71,23689.62,PLN,102339.16,synthetic-spend-PL.csv,True,indirect
TXN-001355,PL,2026-03,2026-03-25,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,136,piece,106.71,14512.56,PLN,62694.26,synthetic-spend-PL.csv,True,indirect
TXN-001356,PL,2026-04,2026-04-26,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,209,piece,106.71,22302.39,PLN,96346.32,synthetic-spend-PL.csv,True,indirect
TXN-001357,PL,2026-05,2026-05-24,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,251,piece,106.71,26784.21,PLN,115707.79,synthetic-spend-PL.csv,True,indirect
TXN-001358,PL,2026-06,2026-06-07,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,260,piece,106.71,27744.6,PLN,119856.67,synthetic-spend-PL.csv,True,indirect
TXN-001359,PL,2026-07,2026-07-28,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,216,piece,106.71,23049.36,PLN,99573.24,synthetic-spend-PL.csv,True,indirect
TXN-001360,PL,2026-08,2026-08-23,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,313,piece,106.71,33400.23,PLN,144288.99,synthetic-spend-PL.csv,True,indirect
TXN-001361,PL,2026-01,2026-01-28,WLF-1003,sup-aster,3M,Standard masking tape,kleb,246,piece,31.16,7665.36,PLN,33114.36,synthetic-spend-PL.csv,True,direct
TXN-001362,PL,2026-02,2026-02-14,WLF-1003,sup-aster,3M,Standard masking tape,kleb,306,piece,31.16,9534.96,PLN,41191.03,synthetic-spend-PL.csv,True,direct
TXN-001363,PL,2026-03,2026-03-23,WLF-1003,sup-aster,3M,Standard masking tape,kleb,304,piece,31.16,9472.64,PLN,40921.8,synthetic-spend-PL.csv,True,direct
TXN-001364,PL,2026-04,2026-04-12,WLF-1003,sup-aster,3M,Standard masking tape,kleb,306,piece,31.16,9534.96,PLN,41191.03,synthetic-spend-PL.csv,True,direct
TXN-001365,PL,2026-05,2026-05-18,WLF-1003,sup-aster,3M,Standard masking tape,kleb,29,piece,31.16,903.64,PLN,3903.72,synthetic-spend-PL.csv,True,direct
TXN-001366,PL,2026-06,2026-06-24,WLF-1003,sup-aster,3M,Standard masking tape,kleb,89,piece,31.16,2773.24,PLN,11980.4,synthetic-spend-PL.csv,True,direct
TXN-001367,PL,2026-07,2026-07-02,WLF-1003,sup-aster,3M,Standard masking tape,kleb,297,piece,31.16,9254.52,PLN,39979.53,synthetic-spend-PL.csv,True,direct
TXN-001368,PL,2026-08,2026-08-08,WLF-1003,sup-aster,3M,Standard masking tape,kleb,81,piece,31.16,2523.96,PLN,10903.51,synthetic-spend-PL.csv,True,direct
TXN-001369,PL,2026-01,2026-01-07,WLF-1004,sup-velora,Glasurit (BASF),Cutting compound (coarse/medium),polier,43,piece,33.32,1432.76,PLN,6189.52,synthetic-spend-PL.csv,True,direct
TXN-001370,PL,2026-02,2026-02-15,WLF-1004,sup-velora,Glasurit (BASF),Cutting compound (coarse/medium),polier,208,piece,33.32,6930.56,PLN,29940.02,synthetic-spend-PL.csv,True,direct
TXN-001371,PL,2026-03,2026-03-08,WLF-1004,sup-velora,Glasurit (BASF),Cutting compound (coarse/medium),polier,314,piece,33.32,10462.48,PLN,45197.91,synthetic-spend-PL.csv,True,direct
TXN-001372,PL,2026-04,2026-04-14,WLF-1004,sup-velora,Glasurit (BASF),Cutting compound (coarse/medium),polier,304,piece,33.32,10129.28,PLN,43758.49,synthetic-spend-PL.csv,True,direct
TXN-001373,PL,2026-05,2026-05-18,WLF-1004,sup-velora,Glasurit (BASF),Cutting compound (coarse/medium),polier,109,piece,33.32,3631.88,PLN,15689.72,synthetic-spend-PL.csv,True,direct
TXN-001374,PL,2026-06,2026-06-17,WLF-1004,sup-velora,Glasurit (BASF),Cutting compound (coarse/medium),polier,259,piece,33.32,8629.88,PLN,37281.08,synthetic-spend-PL.csv,True,direct
TXN-001375,PL,2026-07,2026-07-19,WLF-1004,sup-velora,Glasurit (BASF),Cutting compound (coarse/medium),polier,217,piece,33.32,7230.44,PLN,31235.5,synthetic-spend-PL.csv,True,direct
TXN-001376,PL,2026-08,2026-08-17,WLF-1004,sup-velora,Glasurit (BASF),Cutting compound (coarse/medium),polier,146,piece,33.32,4864.72,PLN,21015.59,synthetic-spend-PL.csv,True,direct
TXN-001377,PL,2026-01,2026-01-24,WLF-1005,sup-lumen,Finixa,Solvent-based silicone remover,kabine,143,piece,25.66,3669.38,PLN,15851.72,synthetic-spend-PL.csv,True,indirect
TXN-001378,PL,2026-02,2026-02-06,WLF-1005,sup-lumen,Finixa,Solvent-based silicone remover,kabine,183,piece,25.66,4695.78,PLN,20285.77,synthetic-spend-PL.csv,True,indirect
TXN-001379,PL,2026-03,2026-03-19,WLF-1005,sup-lumen,Finixa,Solvent-based silicone remover,kabine,129,piece,25.66,3310.14,PLN,14299.8,synthetic-spend-PL.csv,True,indirect
TXN-001380,PL,2026-04,2026-04-04,WLF-1005,sup-lumen,Finixa,Solvent-based silicone remover,kabine,253,piece,25.66,6491.98,PLN,28045.35,synthetic-spend-PL.csv,True,indirect
TXN-001381,PL,2026-05,2026-05-23,WLF-1005,sup-lumen,Finixa,Solvent-based silicone remover,kabine,111,piece,25.66,2848.26,PLN,12304.48,synthetic-spend-PL.csv,True,indirect
TXN-001382,PL,2026-06,2026-06-19,WLF-1005,sup-lumen,Finixa,Solvent-based silicone remover,kabine,171,piece,25.66,4387.86,PLN,18955.56,synthetic-spend-PL.csv,True,indirect
TXN-001383,PL,2026-07,2026-07-26,WLF-1005,sup-lumen,Finixa,Solvent-based silicone remover,kabine,45,piece,25.66,1154.7,PLN,4988.3,synthetic-spend-PL.csv,True,indirect
TXN-001384,PL,2026-08,2026-08-14,WLF-1005,sup-lumen,Finixa,Solvent-based silicone remover,kabine,128,piece,25.66,3284.48,PLN,14188.95,synthetic-spend-PL.csv,True,indirect
TXN-001385,PL,2026-01,2026-01-18,WLF-1006,sup-novex,Mirka,Half mask / spray-painting respirator,psa,249,piece,35.85,8926.65,PLN,38563.13,synthetic-spend-PL.csv,True,direct
TXN-001386,PL,2026-02,2026-02-24,WLF-1006,sup-novex,Mirka,Half mask / spray-painting respirator,psa,31,piece,35.85,1111.35,PLN,4801.03,synthetic-spend-PL.csv,True,direct
TXN-001387,PL,2026-03,2026-03-09,WLF-1006,sup-novex,Mirka,Half mask / spray-painting respirator,psa,97,piece,35.85,3477.45,PLN,15022.58,synthetic-spend-PL.csv,True,direct
TXN-001388,PL,2026-04,2026-04-05,WLF-1006,sup-novex,Mirka,Half mask / spray-painting respirator,psa,285,piece,35.85,10217.25,PLN,44138.52,synthetic-spend-PL.csv,True,direct
