id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-001009,PT,2026-01,2026-01-17,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,207,piece,39.86,8251.02,EUR,8251.02,synthetic-spend-PT.csv,True,indirect
TXN-001010,PT,2026-02,2026-02-17,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,311,piece,39.86,12396.46,EUR,12396.46,synthetic-spend-PT.csv,True,indirect
TXN-001011,PT,2026-03,2026-03-17,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,221,piece,39.86,8809.06,EUR,8809.06,synthetic-spend-PT.csv,True,indirect
TXN-001012,PT,2026-04,2026-04-12,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,323,piece,39.86,12874.78,EUR,12874.78,synthetic-spend-PT.csv,True,indirect
TXN-001013,PT,2026-05,2026-05-04,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,172,piece,39.86,6855.92,EUR,6855.92,synthetic-spend-PT.csv,True,indirect
TXN-001014,PT,2026-06,2026-06-03,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,183,piece,39.86,7294.38,EUR,7294.38,synthetic-spend-PT.csv,True,indirect
TXN-001015,PT,2026-07,2026-07-04,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,104,piece,39.86,4145.44,EUR,4145.44,synthetic-spend-PT.csv,True,indirect
TXN-001016,PT,2026-08,2026-08-19,WLF-1001,sup-solis,PPG / Nexa,Graduated mixing cup,lack,196,piece,39.86,7812.56,EUR,7812.56,synthetic-spend-PT.csv,True,indirect
TXN-001017,PT,2026-01,2026-01-17,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,327,piece,66.59,21774.93,EUR,21774.93,synthetic-spend-PT.csv,True,direct
TXN-001018,PT,2026-02,2026-02-01,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,320,piece,66.59,21308.8,EUR,21308.8,synthetic-spend-PT.csv,True,direct
TXN-001019,PT,2026-03,2026-03-12,WLF-1002,sup-orbit,Würth,"Sanding discs 150 mm, coarse",schleif,199,piece,66.59,13251.41,EUR,13251.41,synthetic-spend-PT.csv,True,direct
