id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-002353,RO,2026-01,2026-01-27,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,116,piece,37.82,4387.12,RON,22286.57,synthetic-spend-RO.csv,True,direct
TXN-002354,RO,2026-02,2026-02-25,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,183,piece,37.82,6921.06,RON,35158.98,synthetic-spend-RO.csv,True,direct
TXN-002355,RO,2026-03,2026-03-22,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,82,piece,37.82,3101.24,RON,15754.3,synthetic-spend-RO.csv,True,direct
TXN-002356,RO,2026-04,2026-04-13,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,299,piece,37.82,11308.18,RON,57445.55,synthetic-spend-RO.csv,True,direct
TXN-002357,RO,2026-05,2026-05-21,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,124,piece,37.82,4689.68,RON,23823.57,synthetic-spend-RO.csv,True,direct
TXN-002358,RO,2026-06,2026-06-14,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,136,piece,37.82,5143.52,RON,26129.08,synthetic-spend-RO.csv,True,direct
TXN-002359,RO,2026-07,2026-07-10,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,211,piece,37.82,7980.02,RON,40538.5,synthetic-spend-RO.csv,True,direct
TXN-002360,RO,2026-08,2026-08-14,WLF-1001,sup-arcus,SATA,Graduated mixing cup,lack,31,piece,37.82,1172.42,RON,5955.89,synthetic-spend-RO.csv,True,direct
TXN-002361,RO,2026-01,2026-01-03,WLF-1002,sup-cobalt,tesa,"Sanding discs 150 mm, coarse",schleif,273,piece,115.14,31433.22,RON,159680.76,synthetic-spend-RO.csv,True,indirect
TXN-002362,RO,2026-02,2026-02-15,WLF-1002,sup-cobalt,tesa,"Sanding discs 150 mm, coarse",schleif,269,piece,115.14,30972.66,RON,157341.11,synthetic-spend-RO.csv,True,indirect
