id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-001681,SK,2026-01,2026-01-13,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,280,piece,38.79,10861.2,EUR,10861.2,synthetic-spend-SK.csv,True,direct
TXN-001682,SK,2026-02,2026-02-05,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,304,piece,38.79,11792.16,EUR,11792.16,synthetic-spend-SK.csv,True,direct
TXN-001683,SK,2026-03,2026-03-12,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,89,piece,38.79,3452.31,EUR,3452.31,synthetic-spend-SK.csv,True,direct
TXN-001684,SK,2026-04,2026-04-16,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,219,piece,38.79,8495.01,EUR,8495.01,synthetic-spend-SK.csv,True,direct
TXN-001685,SK,2026-05,2026-05-12,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,24,piece,38.79,930.96,EUR,930.96,synthetic-spend-SK.csv,True,direct
TXN-001686,SK,2026-06,2026-06-08,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,247,piece,38.79,9581.13,EUR,9581.13,synthetic-spend-SK.csv,True,direct
TXN-001687,SK,2026-07,2026-07-15,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,266,piece,38.79,10318.14,EUR,10318.14,synthetic-spend-SK.csv,True,direct
TXN-001688,SK,2026-08,2026-08-10,WLF-1001,sup-aster,3M,Graduated mixing cup,lack,49,piece,38.79,1900.71,EUR,1900.71,synthetic-spend-SK.csv,True,direct
TXN-001689,SK,2026-01,2026-01-09,WLF-1002,sup-velora,Glasurit (BASF),"Sanding discs 150 mm, coarse",schleif,132,piece,114.81,15154.92,EUR,15154.92,synthetic-spend-SK.csv,True,direct
TXN-001690,SK,2026-02,2026-02-06,WLF-1002,sup-velora,Glasurit (BASF),"Sanding discs 150 mm, coarse",schleif,84,piece,114.81,9644.04,EUR,9644.04,synthetic-spend-SK.csv,True,direct
