id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-003529,UA,2026-01,2026-01-02,WLF-1001,sup-velora,Glasurit (BASF),Graduated mixing cup,lack,308,piece,18.14,5587.12,EUR,5587.12,synthetic-spend-UA.csv,True,indirect
TXN-003530,UA,2026-02,2026-02-04,WLF-1001,sup-velora,Glasurit (BASF),Graduated mixing cup,lack,295,piece,18.14,5351.3,EUR,5351.3,synthetic-spend-UA.csv,True,indirect
TXN-003531,UA,2026-03,2026-03-02,WLF-1001,sup-velora,Glasurit (BASF),Graduated mixing cup,lack,171,piece,18.14,3101.94,EUR,3101.94,synthetic-spend-UA.csv,True,indirect
TXN-003532,UA,2026-04,2026-04-27,WLF-1001,sup-velora,Glasurit (BASF),Graduated mixing cup,lack,188,piece,18.14,3410.32,EUR,3410.32,synthetic-spend-UA.csv,True,indirect
TXN-003533,UA,2026-05,2026-05-13,WLF-1001,sup-velora,Glasurit (BASF),Graduated mixing cup,lack,280,piece,18.14,5079.2,EUR,5079.2,synthetic-spend-UA.csv,True,indirect
TXN-003534,UA,2026-06,2026-06-02,WLF-1001,sup-velora,Glasurit (BASF),Graduated mixing cup,lack,70,piece,18.14,1269.8,EUR,1269.8,synthetic-spend-UA.csv,True,indirect
TXN-003535,UA,2026-07,2026-07-13,WLF-1001,sup-velora,Glasurit (BASF),Graduated mixing cup,lack,180,piece,18.14,3265.2,EUR,3265.2,synthetic-spend-UA.csv,True,indirect
TXN-003536,UA,2026-08,2026-08-13,WLF-1001,sup-velora,Glasurit (BASF),Graduated mixing cup,lack,75,piece,18.14,1360.5,EUR,1360.5,synthetic-spend-UA.csv,True,indirect
TXN-003537,UA,2026-01,2026-01-18,WLF-1002,sup-lumen,Finixa,"Sanding discs 150 mm, coarse",schleif,187,piece,55.82,10438.34,EUR,10438.34,synthetic-spend-UA.csv,True,direct
TXN-003538,UA,2026-02,2026-02-14,WLF-1002,sup-lumen,Finixa,"Sanding discs 150 mm, coarse",schleif,239,piece,55.82,13340.98,EUR,13340.98,synthetic-spend-UA.csv,True,direct
TXN-003539,UA,2026-03,2026-03-08,WLF-1002,sup-lumen,Finixa,"Sanding discs 150 mm, coarse",schleif,113,piece,55.82,6307.66,EUR,6307.66,synthetic-spend-UA.csv,True,direct
TXN-003540,UA,2026-04,2026-04-22,WLF-1002,sup-lumen,Finixa,"Sanding discs 150 mm, coarse",schleif,323,piece,55.82,18029.86,EUR,18029.86,synthetic-spend-UA.csv,True,direct
TXN-003541,UA,2026-05,2026-05-17,WLF-1002,sup-lumen,Finixa,"Sanding discs 150 mm, coarse",schleif,205,piece,55.82,11443.1,EUR,11443.1,synthetic-spend-UA.csv,True,direct
TXN-003542,UA,2026-06,2026-06-11,WLF-1002,sup-lumen,Finixa,"Sanding discs 150 mm, coarse",schleif,96,piece,55.82,5358.72,EUR,5358.72,synthetic-spend-UA.csv,True,direct
TXN-003543,UA,2026-07,2026-07-12,WLF-1002,sup-lumen,Finixa,"Sanding discs 150 mm, coarse",schleif,269,piece,55.82,15015.58,EUR,15015.58,synthetic-spend-UA.csv,True,direct
TXN-003544,UA,2026-08,2026-08-12,WLF-1002,sup-lumen,Finixa,"Sanding discs 150 mm, coarse",schleif,294,piece,55.82,16411.08,EUR,16411.08,synthetic-spend-UA.csv,True,direct
TXN-003545,UA,2026-01,2026-01-11,WLF-1003,sup-novex,Mirka,Standard masking tape,kleb,27,piece,13.52,365.04,EUR,365.04,synthetic-spend-UA.csv,True,direct
TXN-003546,UA,2026-02,2026-02-11,WLF-1003,sup-novex,Mirka,Standard masking tape,kleb,312,piece,13.52,4218.24,EUR,4218.24,synthetic-spend-UA.csv,True,direct
TXN-003547,UA,2026-03,2026-03-09,WLF-1003,sup-novex,Mirka,Standard masking tape,kleb,122,piece,13.52,1649.44,EUR,1649.44,synthetic-spend-UA.csv,True,direct
TXN-003548,UA,2026-04,2026-04-27,WLF-1003,sup-novex,Mirka,Standard masking tape,kleb,133,piece,13.52,1798.16,EUR,1798.16,synthetic-spend-UA.csv,True,direct
TXN-003549,UA,2026-05,2026-05-20,WLF-1003,sup-novex,Mirka,Standard masking tape,kleb,45,piece,13.52,608.4,EUR,608.4,synthetic-spend-UA.csv,True,direct
TXN-003550,UA,2026-06,2026-06-05,WLF-1003,sup-novex,Mirka,Standard masking tape,kleb,307,piece,13.52,4150.64,EUR,4150.64,synthetic-spend-UA.csv,True,direct
TXN-003551,UA,2026-07,2026-07-02,WLF-1003,sup-novex,Mirka,Standard masking tape,kleb,238,piece,13.52,3217.76,EUR,3217.76,synthetic-spend-UA.csv,True,direct
TXN-003552,UA,2026-08,2026-08-11,WLF-1003,sup-novex,Mirka,Standard masking tape,kleb,268,piece,13.52,3623.36,EUR,3623.36,synthetic-spend-UA.csv,True,direct
TXN-003553,UA,2026-01,2026-01-11,WLF-1004,sup-arcus,SATA,Cutting compound (coarse/medium),polier,112,piece,21.54,2412.48,EUR,2412.48,synthetic-spend-UA.csv,True,indirect
