id,iso,month,date,productCode,supplierId,brand,description,cluster,qty,unit,unitPriceEUR,valueEUR,currency,valueLocal,source,matched,route
TXN-004705,XK,2026-01,2026-01-24,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,39,piece,30.19,1177.41,EUR,1177.41,synthetic-spend-XK.csv,True,direct
TXN-004706,XK,2026-02,2026-02-28,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,310,piece,30.19,9358.9,EUR,9358.9,synthetic-spend-XK.csv,True,direct
TXN-004707,XK,2026-03,2026-03-22,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,154,piece,30.19,4649.26,EUR,4649.26,synthetic-spend-XK.csv,True,direct
TXN-004708,XK,2026-04,2026-04-22,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,187,piece,30.19,5645.53,EUR,5645.53,synthetic-spend-XK.csv,True,direct
TXN-004709,XK,2026-05,2026-05-04,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,224,piece,30.19,6762.56,EUR,6762.56,synthetic-spend-XK.csv,True,direct
TXN-004710,XK,2026-06,2026-06-14,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,264,piece,30.19,7970.16,EUR,7970.16,synthetic-spend-XK.csv,True,direct
TXN-004711,XK,2026-07,2026-07-02,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,73,piece,30.19,2203.87,EUR,2203.87,synthetic-spend-XK.csv,True,direct
TXN-004712,XK,2026-08,2026-08-27,WLF-1001,sup-helio,Kovax,Graduated mixing cup,lack,127,piece,30.19,3834.13,EUR,3834.13,synthetic-spend-XK.csv,True,direct
TXN-004713,XK,2026-01,2026-01-21,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,182,piece,102.42,18640.44,EUR,18640.44,synthetic-spend-XK.csv,True,direct
TXN-004714,XK,2026-02,2026-02-14,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,32,piece,102.42,3277.44,EUR,3277.44,synthetic-spend-XK.csv,True,direct
TXN-004715,XK,2026-03,2026-03-05,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,27,piece,102.42,2765.34,EUR,2765.34,synthetic-spend-XK.csv,True,direct
TXN-004716,XK,2026-04,2026-04-09,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,153,piece,102.42,15670.26,EUR,15670.26,synthetic-spend-XK.csv,True,direct
TXN-004717,XK,2026-05,2026-05-19,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,88,piece,102.42,9012.96,EUR,9012.96,synthetic-spend-XK.csv,True,direct
TXN-004718,XK,2026-06,2026-06-06,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,100,piece,102.42,10242.0,EUR,10242.0,synthetic-spend-XK.csv,True,direct
TXN-004719,XK,2026-07,2026-07-02,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,163,piece,102.42,16694.46,EUR,16694.46,synthetic-spend-XK.csv,True,direct
TXN-004720,XK,2026-08,2026-08-02,WLF-1002,sup-vanta,Starcke,"Sanding discs 150 mm, coarse",schleif,278,piece,102.42,28472.76,EUR,28472.76,synthetic-spend-XK.csv,True,direct
TXN-004721,XK,2026-01,2026-01-27,WLF-1003,sup-aster,3M,Standard masking tape,kleb,180,piece,14.55,2619.0,EUR,2619.0,synthetic-spend-XK.csv,True,indirect
TXN-004722,XK,2026-02,2026-02-22,WLF-1003,sup-aster,3M,Standard masking tape,kleb,207,piece,14.55,3011.85,EUR,3011.85,synthetic-spend-XK.csv,True,indirect
